Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,3843,1820
AV-Elections Office ICP 2 - 0,3784,1879
ICC-Absentee by Mail - 1,24,26
ICC-Absentee by Mail - 9,30,19
ICC-Absentee by Mail - 16,27,23
ICC-Absentee by Mail - 17,23,27
ICC-Absentee by Mail - 18,26,23
ICC-Absentee by Mail - 19,18,12
ICC-Absentee by Mail - 15,37,13
ICC-Absentee by Mail - 14,36,14
ICC-Absentee by Mail - 10,29,21
ICC-Absentee by Mail - 11,29,21
ICC-Absentee by Mail - 12,28,22
ICC-Absentee by Mail - 13,29,21
ICC-Absentee by Mail - 2,21,29
ICC-Absentee by Mail - 20,29,21
ICC-Absentee by Mail - 21,28,22
ICC-Absentee by Mail - 5,17,33
ICC-Absentee by Mail - 6,20,30
ICC-Absentee by Mail - 7,14,36
ICC-Absentee by Mail - 8,35,15
ICC-Absentee by Mail - 4,23,27
ICC-Absentee by Mail - 3,33,17
ICC-Absentee by Mail - 22,24,26
ICC-Absentee by Mail - 23,28,22
ICC-Absentee by Mail - 24,4,7
ICC-Absentee by Mail - 25,17,17
ICC-Absentee by Mail - 26,0,1
ED-04 ICP 1 - 0,649,146
ED-13 ICP 1 - 0,1289,673
ED-08 ICP 1 - 0,1271,325
ED-01 ICP 1 - 0,752,182
ED-03 ICP 1 - 0,1271,371
ED-05 ICP 1 - 0,1597,575
ED-16 ICP 1 - 0,1311,636
ED-02 ICP 1 - 0,1549,297
ICC-Absentee by Mail - 27,0,4
