Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 6,25
Absentee by Mail,ICC-Absentee by Mail - 7,25
Absentee by Mail,ICC-Absentee by Mail - 8,14
Absentee by Mail,ICC-Absentee by Mail - 9,25
Absentee by Mail,ICC-Absentee by Mail - 10,25
Absentee by Mail,ICC-Absentee by Mail - 11,25
Absentee by Mail,ICC-Absentee by Mail - 12,1
Absentee by Mail,ICC-Absentee by Mail - 13,6
Election Day,ED-Monticello ICP 1 - 0,944
Advance Voting,AV-Courthouse ICP 1 - 0,2595
Election Day,ED-Martin-Burney ICP 1 - 0,1375
Election Day,ED-Wyatt ICP 1 - 0,728
Provisional,ICC-Provisional - 1,2
