Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee By Mail - 9,6
Absentee by Mail,ICC-Absentee By Mail - 4,49
Absentee by Mail,ICC-Absentee By Mail - 3,50
Absentee by Mail,ICC-Absentee By Mail - 10,5
Absentee by Mail,ICC-Absentee By Mail - 2,48
Absentee by Mail,ICC-Absentee By Mail - 7,10
Absentee by Mail,ICC-Absentee By Mail - 5,50
Absentee by Mail,ICC-Absentee By Mail - 8,50
Absentee by Mail,ICC-Absentee By Mail - 6,47
Absentee by Mail,ICC-Absentee By Mail - 1,50
Advance Voting,AV-Advance Voting Site ICP 1 - 0,2804
Advance Voting,AV-Advance Voting Site ICP 2 - 0,2805
Absentee by Mail,ICC-Absentee By Mail - 11,3
Election Day,ED-Jenkinsburg ICP 1 - 0,542
Election Day,ED-Stark United Methodist ICP 1 - 0,681
Election Day,ED-BCREC ICP 1 - 0,598
Election Day,ED-Towaliga Bapt ICP 1 - 0,644
Election Day,ED-Rock Creek ICP 1 - 0,282
Provisional,ICC-Provisional - 1,2
