Container,Batch Name,Number of Ballots
Elections Day,ED-WT Adams ICP 1 - 0,807
Elections Day,ED-Brewton ICP 1 - 0,727
Elections Day,ED-Smith ICP 1 - 0,958
Elections Day,ED-Reedy Springs ICP 1 - 0,461
Absentee by Mail,ICC - Absentee by Mail - 16,50
Absentee by Mail,ICC - Absentee by Mail - 14,50
Absentee by Mail,ICC - Absentee by Mail - 17,50
Absentee by Mail,ICC - Absentee by Mail - 9,50
Absentee by Mail,ICC - Absentee by Mail - 15,50
Absentee by Mail,ICC - Absentee by Mail - 18,4
Absentee by Mail,ICC - Absentee by Mail - 13,50
Absentee by Mail,ICC - Absentee by Mail - 10,50
Absentee by Mail,ICC - Absentee by Mail - 12,50
Absentee by Mail,ICC - Absentee by Mail - 11,50
Absentee by Mail,ICC - Absentee by Mail - 5,50
Absentee by Mail,ICC - Absentee by Mail - 6,50
Absentee by Mail,ICC - Absentee by Mail - 19,33
Absentee by Mail,ICC - Absentee by Mail - 8,50
Absentee by Mail,ICC - Absentee by Mail - 7,50
Absentee by Mail,ICC - Absentee by Mail - 20,3
Absentee by Mail,ICC - Absentee by Mail - 3,50
Absentee by Mail,ICC - Absentee by Mail - 4,50
Absentee by Mail,ICC - Absentee by Mail - 1,50
Absentee by Mail,ICC - Absentee by Mail - 2,50
Elections Day,ED-Rural Fire Station ICP 1 - 0,813
Elections Day,ED-Hampton Mill ICP 1 - 0,841
Elections Day,ED-Cadwell ICP 1 - 0,407
Elections Day,ED-Fire Station 5 ICP 1 - 0,1203
Elections Day,ED-LCFS 10 ICP 1 - 0,660
Elections Day,ED-Burch ICP 1 - 0,220
Elections Day,ED-Minter ICP 1 - 0,467
Advance Voting,AV-Elections Office - ICP 1 - 0,5538
Elections Day,ED-Dudley ICP 1 - 0,677
Elections Day,ED-FBD-FLC ICP 1 - 0,1051
Elections Day,ED-Calhoun Park ICP 1 - 0,1094
Elections Day,ED-Buckeye ICP 1 - 0,391
Elections Day,ED-Calhoun Park ICP 2 - 0,9
Absentee by Mail,ICC - Absentee by Mail - 25,16
Absentee by Mail,ICC - Absentee by Mail - 24,47
Absentee by Mail,ICC - Absentee by Mail - 23,50
Absentee by Mail,ICC - Absentee by Mail - 22,50
Absentee by Mail,ICC - Absentee by Mail - 21,50
Provisional,ICC - Provisional - 1,2
