Container,Batch Name,Number of Ballots
Advanced Voting,AV-Courthouse ICP 1 - 0,3409
Absentee by Mail,ICC-Absentee By Mail - 1,25
Absentee by Mail,ICC-Absentee By Mail - 2,25
Absentee by Mail,ICC-Absentee By Mail - 3,25
Absentee by Mail,ICC-Absentee By Mail - 4,25
Absentee by Mail,ICC-Absentee By Mail - 5,25
Absentee by Mail,ICC-Absentee By Mail - 6,25
Absentee by Mail,ICC-Absentee By Mail - 7,25
Absentee by Mail,ICC-Absentee By Mail - 8,25
Absentee by Mail,ICC-Absentee By Mail - 9,25
Absentee by Mail,ICC-Absentee By Mail - 10,25
Absentee by Mail,ICC-Absentee By Mail - 11,25
Absentee by Mail,ICC-Absentee By Mail - 12,25
Absentee by Mail,ICC-Absentee By Mail - 13,25
Absentee by Mail,ICC-Absentee By Mail - 14,25
Absentee by Mail,ICC-Absentee By Mail - 15,25
Absentee by Mail,ICC-Absentee By Mail - 16,25
Absentee by Mail,ICC-Absentee By Mail - 17,25
Absentee by Mail,ICC-Absentee By Mail - 18,25
Absentee by Mail,ICC-Absentee By Mail - 19,8
Election Day,ED-Scotts Crossroads ICP 1 - 0,83
Election Day,ED- No Waynesboro ICP 1 - 0,420
Election Day,ED-Greenscut ICP 1 - 0,284
Absentee by Mail,ICC-Absentee By Mail - 20,1
Election Day,ED-Munnerlyn ICP 1 - 0,78
Election Day,ED-Gough ICP 1 - 0,128
Election Day,ED-So Waynesboro ICP 1 - 0,621
Election Day,ED-Sardis ICP 1 - 0,349
Absentee by Mail,ICC-Absentee By Mail - 21,2
Election Day,ED-Four Points ICP 1 - 0,705
Election Day,ED-St Clair ICP 1 - 0,151
Election Day,ED-Alexander ICP 1 - 0,121
Election Day,ED-Girard ICP 1 - 0,241
Election Day,ED-Keysville ICP 1 - 0,158
Election Day,ED-Midville ICP 1 - 0,188
Election Day,ED-Blakeney ICP 1 - 0,138
Election Day,ED-Vidette ICP 1 - 0,127
Election Day,ED-Telfair ICP 1 - 0,270
Absentee by Mail,ICC-Absentee By Mail - 22,1
Provisional,ICC-Provisional - 1,4
