Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,25
Absentee by Mail,Absentee By Mail ICC - 2,25
Absentee by Mail,Absentee By Mail ICC - 3,25
Absentee by Mail,Absentee By Mail ICC - 4,25
Absentee by Mail,Absentee By Mail ICC - 5,25
Absentee by Mail,Absentee By Mail ICC - 6,25
Absentee by Mail,Absentee By Mail ICC - 7,25
Absentee by Mail,Absentee By Mail ICC - 8,25
Absentee by Mail,Absentee By Mail ICC - 9,25
Absentee by Mail,Absentee By Mail ICC - 10,25
Absentee by Mail,Absentee By Mail ICC - 11,25
Absentee by Mail,Absentee By Mail ICC - 12,25
Absentee by Mail,Absentee By Mail ICC - 13,25
Absentee by Mail,Absentee By Mail ICC - 14,25
Absentee by Mail,Absentee By Mail ICC - 15,25
Absentee by Mail,Absentee By Mail ICC - 16,25
Absentee by Mail,Absentee By Mail ICC - 17,25
Absentee by Mail,Absentee By Mail ICC - 18,25
Absentee by Mail,Absentee By Mail ICC - 19,25
Absentee by Mail,Absentee By Mail ICC - 20,17
Absentee by Mail,Absentee By Mail ICC - 21,25
Absentee by Mail,Absentee By Mail ICC - 22,27
Absentee by Mail,Absentee By Mail ICC - 23,25
Absentee by Mail,Absentee By Mail ICC - 24,25
Absentee by Mail,Absentee By Mail ICC - 25,25
Absentee by Mail,Absentee By Mail ICC - 26,26
Advance Voting,AV-Elections Office ICP 1 - 0,4332
Advance Voting,AV-Elections Office ICP 2 - 0,4332
Election Day,ED-Central ICP 1 - 0,653
Election Day,ED-Jerger-Scott ICP 1 - 0,721
Election Day,ED-Boston ICP 1 - 0,362
Election Day,ED-Harper ICP 1 - 0,301
Election Day,ED-Douglass ICP 1 - 0,352
Election Day,ED-Coolidge-Merrilville ICP 1 - 0,465
Election Day,ED-Remington Esc ICP 1 - 0,349
Election Day,ED-Gatlin Creek ICP 1 - 0,452
Election Day,ED-Fire Station 2 ICP 1 - 0,315
Election Day,ED-Barwick ICP 1 - 0,206
Election Day,ED-Metcalfe ICP 1 - 0,102
Election Day,ED-New Covenant ICP 1 - 0,422
Election Day,ED-Little Ochlocknee Baptist ICP 1 - 0,317
Election Day,ED-Resource Center ICP 1 - 0,197
Election Day,ED-Pavo-Patten ICP 1 - 0,363
Election Day,ED-Meigs ICP 1 - 0,259
Election Day,ED-Ochlocknee ICP 1 - 0,345
Provisional,Provisional ICC - 1,4
