Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,49
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,49
Absentee by Mail,ICC-Absentee by Mail - 8,14
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,33
Absentee by Mail,ICC-Absentee by Mail - 13,3
Absentee by Mail,ICC-Absentee by Mail - 14,3
Advance Voting,AV-Elections Office  ICP 2 - 0,3059
Advance Voting,AV-Elections Office  ICP 1 - 0,3058
Election Day,ED-Middlebrooks  ICP 1 - 0,317
Election Day,ED-Cox  ICP 1 - 0,267
Election Day,ED-Burgays  ICP 1 - 0,879
Election Day,ED-Kelseys  ICP 1 - 0,254
Election Day,ED-Brantleys  ICP 1 - 0,372
Election Day,ED-Culloden  ICP 1 - 0,198
Election Day,ED-Dillards  ICP 1 - 0,272
Election Day,ED-Cabaniss  ICP 1 - 0,250
Election Day,ED-Forsyth  ICP 1 - 0,337
Election Day,ED-Forsyth  ICP 2 - 0,362
Election Day,ED-Evers  ICP 1 - 0,573
Election Day,ED-Proctors  ICP 1 - 0,414
Election Day,ED-Russellville  ICP 1 - 0,200
Election Day,ED-High Falls  ICP 1 - 0,549
Election Day,ED-Bentons  ICP 1 - 0,719
Provisional,ICC-Provisional - 1,2
