Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,24
Absentee by Mail,ICC - Absentee By Mail - 2,51
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,60
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 14,50
Absentee by Mail,ICC - Absentee By Mail - 15,62
Absentee by Mail,ICC - Absentee By Mail - 16,50
Absentee by Mail,ICC - Absentee By Mail - 17,50
Absentee by Mail,ICC - Absentee By Mail - 18,33
Absentee by Mail,ICC - Absentee By Mail - 19,50
Absentee by Mail,ICC - Absentee By Mail - 20,50
Absentee by Mail,ICC - Absentee By Mail - 21,46
Absentee by Mail,ICC - Absentee By Mail - 22,65
Absentee by Mail,ICC - Absentee By Mail - 23,50
Absentee by Mail,ICC - Absentee By Mail - 24,55
Absentee by Mail,ICC - Absentee By Mail - 25,50
Absentee by Mail,ICC - Absentee By Mail - 26,50
Absentee by Mail,ICC - Absentee By Mail - 27,35
Absentee by Mail,ICC - Absentee By Mail - 28,74
Advanced Voting,AV-Powell Park Art Center ICP1 - 0,2282
Advanced Voting,AV-Powell Park Art Center ICP2 - 0,2272
Advanced Voting,AV-Elections Office ICP 1 - 0,4324
Advanced Voting,AV-Elections Office ICP 2 - 0,4323
Advanced Voting,AV-Elections Office ICP 3 - 0,4323
Absentee by Mail,ICC - Absentee By Mail - 29,1
Election Day,ED-Hulett-Mars Hill ICP 1 - 0,195
Election Day,ED-Hulett-Mars Hill ICP 2 - 0,642
Election Day,ED-Lakeshore Rec Center ICP 1 - 0,293
Election Day,ED-Center Point ICP 1 - 0,663
Election Day,ED-Bowdon Junction-Mount Holly ICP 1 - 0,443
Election Day,ED-West Carrollton ICP 1 - 0,308
Election Day,ED-West Carrollton ICP 2 - 0,255
Election Day,ED-Oak Grove ICP 1 - 0,574
Election Day,ED-Tabernacle Church ICP 1 - 0,338
Election Day,ED-Burwell-Shilo Methodist ICP 1 - 0,548
Election Day,ED-Burson Center ICP 1 - 0,307
Election Day,ED-Bethany ICP 1 - 0,110
Election Day,ED-Bethany ICP 2 - 0,685
Election Day,ED-Bonner ICP 1 - 0,110
Election Day,ED-Bonner ICP 2 - 0,610
Election Day,ED-Clem ICP 1 - 0,444
Election Day,ED-Clem ICP 2 - 0,564
Election Day,ED-Kansas ICP 1 - 0,541
Election Day,ED-Mt Zion ICP 1 - 0,856
Election Day,ED-Fairfield ICP 1 - 0,792
Election Day,ED-Fairfield ICP 2 - 0,556
Election Day,ED-Sandhill-Midway ICP 1 - 0,627
Election Day,ED-Sandhill-Midway ICP 2 - 0,398
Election Day,ED-Old Camp Church ICP 1 - 0,344
Election Day,ED-Old Camp Church ICP 2 - 0,345
Election Day,ED-V R County South-Civic Center ICP 1 - 0,578
Election Day,ED-Bowdon ICP 1 - 0,616
Election Day,ED-Bowdon ICP 2 - 0,435
Election Day,ED-Tyus ICP 1 - 0,757
Election Day,ED-Temple County ICP 1 - 0,479
Election Day,ED-Temple County ICP 2 - 0,479
Election Day,ED-Whitesburg ICP 1 - 0,390
Election Day,ED-Whitesburg ICP 2 - 0,389
Election Day,ED-Temple City ICP 1 - 0,650
Election Day,ED-Temple City ICP 2 - 0,374
Election Day,ED-Neva Lomason Library-County Admin Bldg ICP 1 - 0,465
Election Day,ED-Roopville ICP 1 - 0,516
Election Day,ED-Roopville ICP 2 - 0,551
Election Day,ED-University of W GA ICP 1 - 0,238
Election Day,ED-University of W GA ICP 2 - 0,121
Election Day,ED-V R City-Powell Park ICP 1 - 0,532
Election Day,ED-V R City-Powell Park ICP 2 - 0,529
Election Day,ED-V R County North-Gold Dust Park ICP 1 - 0,498
Election Day,ED-V R County North-Gold Dust Park ICP 2 - 0,485
Provisional,ICC - Provisional - 1,10
Absentee by Mail,ICC - Absentee By Mail - 30,1
