Container,Batch Name,Number of Ballots
Advance Voting,ICC Absentee In Person - 1,299
Advance Voting,ICC Absentee In Person - 2,287
Advance Voting,ICC Absentee In Person - 3,313
Advance Voting,ICC Absentee In Person - 4,5
Advance Voting,ICC Absentee In Person - 5,204
Advance Voting,ICC Absentee In Person - 6,288
Advance Voting,ICC Absentee In Person - 7,214
Advance Voting,ICC Absentee In Person - 8,188
Advance Voting,ICC Absentee In Person - 9,295
Advance Voting,ICC Absentee In Person - 10,208
Advance Voting,ICC Absentee In Person - 11,258
Advance Voting,ICC Absentee In Person - 12,158
Advance Voting,ICC Absentee In Person - 13,216
Advance Voting,ICC Absentee In Person - 14,217
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,16
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,20
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,51
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,47
Absentee by Mail,ICC-Absentee by Mail - 13,50
Absentee by Mail,ICC-Absentee by Mail - 14,49
Absentee by Mail,ICC-Absentee by Mail - 15,50
Absentee by Mail,ICC-Absentee by Mail - 16,50
Absentee by Mail,ICC-Absentee by Mail - 17,49
Advance Voting,AV-Locust Grove Library  ICP 1 - 0,5076
Advance Voting,AV-JP Moseley Rec Center  ICP 1 - 0,5930
Advance Voting,AV-Fortson Library  ICP 1 - 0,5935
Advance Voting,AV-Elections and Registration  ICP 1 - 0,7218
Advance Voting,AV-Elections and Registration  ICP 2 - 0,7236
Advance Voting,AV-Fairview Rec Center  ICP 1 - 0,5522
Advance Voting,AV-Merle Manders Conf Center  ICP 2 - 0,4565
Absentee by Mail,ICC-Absentee by Mail - 18,10
Absentee by Mail,ICC-Absentee by Mail - 19,49
Absentee by Mail,ICC-Absentee by Mail - 20,49
Absentee by Mail,ICC-Absentee by Mail - 21,49
Absentee by Mail,ICC-Absentee by Mail - 22,49
Absentee by Mail,ICC-Absentee by Mail - 23,50
Absentee by Mail,ICC-Absentee by Mail - 24,49
Absentee by Mail,ICC-Absentee by Mail - 25,50
Absentee by Mail,ICC-Absentee by Mail - 26,50
Absentee by Mail,ICC-Absentee by Mail - 27,50
Absentee by Mail,ICC-Absentee by Mail - 28,49
Absentee by Mail,ICC-Absentee by Mail - 29,50
Absentee by Mail,ICC-Absentee by Mail - 30,50
Election Day,ED-McMullen  ICP 1 - 0,1141
Election Day,ED-Lighthouse  ICP 1 - 0,771
Election Day,ED-Stagecoach  ICP 1 - 0,658
Election Day,ED-North Hampton  ICP 1 - 0,1275
Election Day,ED-Lake Dow  ICP 1 - 0,1392
Election Day,ED-McDonough Central  ICP 1 - 0,730
Election Day,ED-Shiloh  ICP 1 - 0,662
Election Day,ED-Ellenwood  ICP 1 - 0,548
Election Day,ED-Oakland  ICP 1 - 0,934
Election Day,ED-Unity Grove  ICP 1 - 0,1245
Absentee by Mail,ICC-Absentee by Mail - 31,50
Absentee by Mail,ICC-Absentee by Mail - 32,50
Absentee by Mail,ICC-Absentee by Mail - 33,48
Election Day,ED-Hickory Flat  ICP 1 - 0,923
Election Day,ED-Stockbridge East-West  ICP 1 - 0,1005
Election Day,ED-McDonough  ICP 1 - 0,603
Election Day,ED-Tussahaw  ICP 1 - 0,1084
Election Day,ED-Locust Grove  ICP 1 - 0,1402
Election Day,ED-Mount Carmel  ICP 1 - 0,1130
Election Day,ED-Westside  ICP 1 - 0,876
Election Day,ED-Pates Creek  ICP 1 - 0,985
Election Day,ED-Mt Bethel  ICP 1 - 0,1324
Election Day,ED-Cotton Indian  ICP 1 - 0,722
Election Day,ED-Timberridge  ICP 1 - 0,766
Absentee by Mail,ICC-Absentee by Mail - 34,49
Election Day,ED-Lowes  ICP 1 - 0,1913
Election Day,ED-Dutchtown  ICP 1 - 0,534
Election Day,ED-Swan Lake  ICP 1 - 0,696
Election Day,ED-Grove Park  ICP 1 - 0,968
Election Day,ED-Wesley Lakes  ICP 1 - 0,1092
Absentee by Mail,ICC-Absentee by Mail - 35,50
Absentee by Mail,ICC-Absentee by Mail - 36,49
Absentee by Mail,ICC-Absentee by Mail - 37,50
Election Day,ED-Lake Haven  ICP 1 - 0,941
Absentee by Mail,ICC-Absentee by Mail - 38,50
Absentee by Mail,ICC-Absentee by Mail - 39,50
Absentee by Mail,ICC-Absentee by Mail - 40,50
Absentee by Mail,ICC-Absentee by Mail - 41,49
Absentee by Mail,ICC-Absentee by Mail - 42,49
Absentee by Mail,ICC-Absentee by Mail - 43,48
Election Day,ED-South Hampton  ICP 1 - 0,1086
Absentee by Mail,ICC-Absentee by Mail - 44,49
Absentee by Mail,ICC-Absentee by Mail - 45,48
Absentee by Mail,ICC-Absentee by Mail - 46,48
Absentee by Mail,ICC-Absentee by Mail - 47,48
Absentee by Mail,ICC-Absentee by Mail - 48,43
Absentee by Mail,ICC-Absentee by Mail - 49,46
Absentee by Mail,ICC-Absentee by Mail - 50,45
