Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,25
Absentee by Mail,Absentee By Mail ICC - 2,25
Absentee by Mail,Absentee By Mail ICC - 3,16
Absentee by Mail,Absentee By Mail ICC - 4,25
Absentee by Mail,Absentee By Mail ICC - 5,25
Absentee by Mail,Absentee By Mail ICC - 6,16
Absentee by Mail,Absentee By Mail ICC - 7,25
Absentee by Mail,Absentee By Mail ICC - 8,24
Absentee by Mail,Absentee By Mail ICC - 9,24
Absentee by Mail,Absentee By Mail ICC - 10,7
Absentee by Mail,Absentee By Mail ICC - 11,28
Absentee by Mail,Absentee By Mail ICC - 12,24
Absentee by Mail,Absentee By Mail ICC - 13,10
Absentee by Mail,Absentee By Mail ICC - 14,24
Absentee by Mail,Absentee By Mail ICC - 15,24
Absentee by Mail,Absentee By Mail ICC - 16,11
Absentee by Mail,Absentee By Mail ICC - 17,12
Absentee by Mail,Absentee By Mail ICC - 18,24
Absentee by Mail,Absentee By Mail ICC - 19,6
Absentee by Mail,Absentee By Mail ICC - 20,20
Absentee by Mail,Absentee By Mail ICC - 21,8
Absentee by Mail,Absentee By Mail ICC - 22,23
Absentee by Mail,Absentee By Mail ICC - 23,8
Absentee by Mail,Absentee By Mail ICC - 24,7
Absentee by Mail,Absentee By Mail ICC - 25,14
Absentee by Mail,Absentee By Mail ICC - 26,3
Advance Voting,AV-Elections Office ICP 1 - 0,3932
Election Day,ED-Kendrick ICP 1 - 0,196
Election Day,ED-Kirbo Center ICP 1 - 0,613
Election Day,ED-Bainbridge-Fairgrounds ICP 1 - 0,611
Election Day,ED-Recovery ICP 1 - 0,247
Election Day,ED-Bainbridge-Coliseum ICP 1 - 0,334
Election Day,ED-West Bainbridge ICP 1 - 0,343
Election Day,ED-Attapulgus ICP 1 - 0,424
Election Day,ED-Brinson ICP 2 - 0,281
Election Day,ED-Mt. Pleasant ICP 1 - 0,204
Election Day,ED-Climax ICP 1 - 0,317
Provisional,Provisional ICC - 1,17
