Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail - 1,25
Absentee by Mail,ICC - Absentee by Mail - 2,25
Absentee by Mail,ICC - Absentee by Mail - 3,25
Absentee by Mail,ICC - Absentee by Mail - 4,25
Absentee by Mail,ICC - Absentee by Mail - 5,25
Absentee by Mail,ICC - Absentee by Mail - 6,25
Absentee by Mail,ICC - Absentee by Mail - 7,25
Absentee by Mail,ICC - Absentee by Mail - 8,25
Absentee by Mail,ICC - Absentee by Mail - 9,25
Absentee by Mail,ICC - Absentee by Mail - 10,25
Absentee by Mail,ICC - Absentee by Mail - 11,25
Absentee by Mail,ICC - Absentee by Mail - 12,25
Absentee by Mail,ICC - Absentee by Mail - 13,25
Absentee by Mail,ICC - Absentee by Mail - 14,3
Advance Voting,AV - Registrars ICP 1 - 0,1741
Advance Voting,AV - Registrars ICP 2 - 0,1301
Absentee by Mail,ICC - Absentee by Mail - 15,8
Election Day,ED - Elberton ICP 1 - 0,591
Election Day,ED - Pike ICP 1 - 0,411
Election Day,ED - Longstreet ICP 1 - 0,184
Election Day,ED - Wyche ICP 1 - 0,268
Election Day,ED - Eliam ICP 1 - 0,242
Election Day,ED - Webbsboro ICP 1 - 0,151
Election Day,ED - Gaines ICP 1 - 0,232
Election Day,ED - Petersburg ICP 1 - 0,155
Election Day,ED - Centerville ICP 1 - 0,302
Election Day,ED - Moss - Ruckersville ICP 1 - 0,132
Election Day,ED - Goshen ICP 1 - 0,613
Provisional,ICC - Provisional - 1,7
