Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,24
Absentee by Mail,Absentee By Mail ICC - 2,25
Absentee by Mail,Absentee By Mail ICC - 3,24
Absentee by Mail,Absentee By Mail ICC - 4,25
Absentee by Mail,Absentee By Mail ICC - 5,24
Absentee by Mail,Absentee By Mail ICC - 6,25
Absentee by Mail,Absentee By Mail ICC - 7,25
Absentee by Mail,Absentee By Mail ICC - 8,26
Absentee by Mail,Absentee By Mail ICC - 9,25
Absentee by Mail,Absentee By Mail ICC - 10,15
Advance Voting,AV-Elections Office ICP 1 - 0,2206
Election Day,ED-Nankin ICP 1 - 0,238
Election Day,ED-Morven ICP 1 - 0,554
Election Day,ED-Barwick ICP 1 - 0,138
Election Day,ED-Dixie ICP 1 - 0,272
Election Day,ED-Quitman ICP 1 - 0,533
Election Day,ED-Pavo ICP 1 - 0,249
Election Day,ED-Briggs ICP 1 - 0,630
Absentee by Mail,Absentee By Mail ICC - 11,3
Provisional,Provisional ICC - 1,2
