Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,100
Absentee by Mail,ICC-Absentee by Mail - 2,100
Absentee by Mail,ICC-Absentee by Mail - 3,100
Absentee by Mail,ICC-Absentee by Mail - 4,100
Absentee by Mail,ICC-Absentee by Mail - 5,107
Absentee by Mail,ICC-Absentee by Mail - 6,100
Absentee by Mail,ICC-Absentee by Mail - 7,100
Absentee by Mail,ICC-Absentee by Mail - 8,100
Absentee by Mail,ICC-Absentee by Mail - 9,100
Absentee by Mail,ICC-Absentee by Mail - 10,100
Absentee by Mail,ICC-Absentee by Mail - 11,100
Absentee by Mail,ICC-Absentee by Mail - 12,100
Absentee by Mail,ICC-Absentee by Mail - 13,100
Absentee by Mail,ICC-Absentee by Mail - 14,107
Absentee by Mail,ICC-Absentee by Mail - 15,100
Absentee by Mail,ICC-Absentee by Mail - 16,100
Absentee by Mail,ICC-Absentee by Mail - 17,100
Absentee by Mail,ICC-Absentee by Mail - 18,100
Absentee by Mail,ICC-Absentee by Mail - 19,100
Absentee by Mail,ICC-Absentee by Mail - 20,100
Absentee by Mail,ICC-Absentee by Mail - 21,27
Absentee by Mail,ICC-Absentee by Mail - 22,76
Absentee by Mail,ICC-Absentee by Mail - 23,101
Advance Voting,AV-Prospect UMC  ICP 2 - 0,3122
Advance Voting,AV-Prospect UMC  ICP 1 - 0,3234
Advance Voting,AV-Town  ICP 1 - 0,4274
Advance Voting,AV-Town  ICP 2 - 0,4350
Absentee by Mail,ICC-Absentee by Mail - 24,84
Absentee by Mail,ICC-Absentee by Mail - 25,100
Absentee by Mail,ICC-Absentee by Mail - 26,99
Absentee by Mail,ICC-Absentee by Mail - 27,21
Absentee by Mail,ICC-Absentee by Mail - 28,23
Election Day,ED-Mansfield  ICP 1 - 0,811
Election Day,ED-Newborn  ICP 1 - 0,438
Election Day,ED-Brewers  ICP 1 - 0,1385
Election Day,ED-Oxford  ICP 1 - 0,867
Election Day,ED-Rocky Plains  ICP 2 - 0,465
Election Day,ED-Rocky Plains  ICP 1 - 0,516
Election Day,ED-Fairview  ICP 1 - 0,579
Election Day,ED-Covington Mills  ICP 1 - 0,818
Election Day,ED-Livingston  ICP 1 - 0,907
Election Day,ED-Hub  ICP 1 - 0,1106
Election Day,ED-Gum Creek  ICP 1 - 0,1311
Election Day,ED-Crowell  ICP 2 - 0,700
Election Day,ED-Crowell  ICP 1 - 0,133
Election Day,ED-Stansells  ICP 2 - 0,495
Election Day,ED-Stansells  ICP 1 - 0,487
Election Day,ED-Brick Store  ICP 1 - 0,1103
Election Day,ED-City Pond  ICP 1 - 0,402
Election Day,ED-Cedar Shoals  ICP 1 - 0,613
Election Day,ED-Leguinn  ICP 1 - 0,890
Election Day,ED-Buck Creek  ICP 1 - 0,574
Election Day,ED-Buck Creek  ICP 2 - 0,385
Election Day,ED-Alcovy  ICP 1 - 0,593
Election Day,ED-Downs  ICP 1 - 0,755
Election Day,ED-Downs  ICP 2 - 0,555
Election Day,ED-Beaverdam  ICP 1 - 0,371
Election Day,ED-Beaverdam  ICP 2 - 0,775
Election Day,ED-Town  ICP 2 - 0,370
Election Day,ED-Almon  ICP 1 - 0,1054
Election Day,ICC-Election Day - 1,188
Election Day,ICC-Election Day - 2,215
Election Day,ICC-Election Day - 3,190
Election Day,ICC-Election Day - 4,61
Election Day,ICC-Election Day - 5,254
Provisional,ICC-Provisional - 1,3
