Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,19
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 6,25
Absentee by Mail,ICC-Absentee by Mail - 7,25
Absentee by Mail,ICC-Absentee by Mail - 8,25
Absentee by Mail,ICC-Absentee by Mail - 9,25
Absentee by Mail,ICC-Absentee by Mail - 10,25
Absentee by Mail,ICC-Absentee by Mail - 11,25
Absentee by Mail,ICC-Absentee by Mail - 12,2
Absentee by Mail,ICC-Absentee by Mail - 13,25
Absentee by Mail,ICC-Absentee by Mail - 14,15
Absentee by Mail,ICC-Absentee by Mail - 15,25
Absentee by Mail,ICC-Absentee by Mail - 16,25
Absentee by Mail,ICC-Absentee by Mail - 17,1
Absentee by Mail,ICC-Absentee by Mail - 18,2
Advance Voting,AV-Elections Office ICP 1 - 0,3927
Election Day,ED-Concord ICP 1 - 0,551
Election Day,ED-Lifsey Springs ICP 1 - 0,374
Election Day,ED-Zebulon ICP 1 - 0,456
Election Day,ED-Hollonville ICP 1 - 0,634
Election Day,ED-Second District ICP 1 - 0,688
Election Day,ED-Williamson ICP 1 - 0,620
Election Day,ED-Meansville ICP 1 - 0,480
Election Day,ED-Molena ICP 1 - 0,548
Provisional,ICC-Provisional - 1,6
