Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail - 1,48
Absentee by Mail,ICC - Absentee by Mail - 2,50
Absentee by Mail,ICC - Absentee by Mail - 3,2
Absentee by Mail,ICC - Absentee by Mail - 4,50
Absentee by Mail,ICC - Absentee by Mail - 6,2
Absentee by Mail,ICC - Absentee by Mail - 5,47
Absentee by Mail,ICC - Absentee by Mail - 7,50
Absentee by Mail,ICC - Absentee by Mail - 8,50
Absentee by Mail,ICC - Absentee by Mail - 9,50
Absentee by Mail,ICC - Absentee by Mail - 10,50
Absentee by Mail,ICC - Absentee by Mail - 11,50
Absentee by Mail,ICC - Absentee by Mail - 12,9
Absentee by Mail,ICC - Absentee by Mail - 13,1
Advance Voting,AV-Elections Office - ICP 1 - 0,3757
Elections Day,ED-Lyons ICP 1 - 0,656
Elections Day,ED-Newbranch ICP 1 - 0,467
Elections Day,ED-Cedar Crossing ICP 1 - 0,490
Elections Day,ED-STIALC ICP 1 - 0,752
Elections Day,ED-VPD ICP 1 - 0,1176
Provisional,ICC - Provisional - 1,4
Absentee by Mail,ICC - Absentee by Mail - 14,2
