Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,49
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,61
Absentee by Mail,ICC-Absentee by Mail - 4,102
Absentee by Mail,ICC-Absentee by Mail - 5,71
Absentee by Mail,ICC-Absentee by Mail - 6,61
Advance Voting,AV-Board of Elections ICP 1 - 0,3279
Absentee by Mail,ICC-Absentee by Mail - 7,26
Election Day,ED-Lexington ICP 1 - 0,826
Election Day,ED-Crawford ICP 1 - 0,700
Election Day,ED-Beaverdam ICP 1 - 0,1034
Provisional,ICC-Provisional - 1,3
