Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,6209
Absentee by Mail,Absentee By Mail ICC - 1,101
Absentee by Mail,Absentee By Mail ICC - 2,100
Absentee by Mail,Absentee By Mail ICC - 3,127
Absentee by Mail,Absentee By Mail ICC - 4,67
Absentee by Mail,Absentee By Mail ICC - 5,1
Election Day,ED-Tifton Lodge ICP 1 - 0,556
Election Day,ED-Chula ICP 1 - 0,478
Election Day,ED-Brookfield ICP 1 - 0,460
Election Day,ED-Tifton NW ICP 1 - 0,628
Absentee by Mail,Absentee By Mail ICC - 6,5
Election Day,ED-Eldorado ICP 1 - 0,405
Election Day,ED-TyTy ICP 1 - 0,407
Election Day,ED-Omega ICP 1 - 0,303
Election Day,ED-Tifton NE ICP 1 - 0,479
Election Day,ED-Brighton ICP 1 - 0,628
Election Day,ED-Mott-Litman Gym ICP 1 - 0,374
Election Day,ED-Docia ICP 1 - 0,369
Election Day,ED-Tifton South ICP 1 - 0,344
Provisional,Provisional ICC - 1,3
