Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee By Mail 1 - 1,70
Absentee by Mail,ICC-Absentee By Mail 1 - 2,85
Absentee by Mail,ICC-Absentee By Mail 1 - 3,94
Absentee by Mail,ICC-Absentee By Mail 1 - 4,94
Absentee by Mail,ICC-Absentee By Mail 1 - 5,42
Absentee by Mail,ICC-Absentee By Mail 1 - 6,24
Absentee by Mail,ICC-Absentee By Mail 1 - 7,27
Absentee by Mail,ICC-Absentee By Mail 1 - 8,41
Absentee by Mail,ICC-Absentee By Mail 1 - 9,93
Absentee by Mail,ICC-Absentee By Mail 1 - 10,71
Absentee by Mail,ICC-Absentee By Mail 1 - 11,19
Absentee by Mail,ICC-Absentee By Mail 1 - 12,77
Absentee by Mail,ICC-Absentee By Mail 1 - 13,2
Absentee by Mail,ICC-Absentee By Mail 1 - 14,6
Absentee by Mail,ICC-Absentee By Mail 1 - 15,6
Absentee by Mail,ICC-Absentee By Mail 1 - 16,88
Absentee by Mail,ICC-Absentee By Mail 1 - 17,83
Absentee by Mail,ICC-Absentee By Mail 1 - 18,36
Absentee by Mail,ICC-Absentee By Mail 1 - 19,16
Absentee by Mail,ICC-Absentee By Mail 1 - 20,53
Absentee by Mail,ICC-Absentee By Mail 2 - 1,9
Absentee by Mail,ICC-Absentee By Mail 2 - 2,83
Absentee by Mail,ICC-Absentee By Mail 2 - 3,73
Absentee by Mail,ICC-Absentee By Mail 2 - 4,70
Absentee by Mail,ICC-Absentee By Mail 2 - 5,64
Absentee by Mail,ICC-Absentee By Mail 2 - 6,48
Absentee by Mail,ICC-Absentee By Mail 2 - 7,16
Absentee by Mail,ICC-Absentee By Mail 2 - 8,21
Absentee by Mail,ICC-Absentee By Mail 2 - 9,63
Absentee by Mail,ICC-Absentee By Mail 2 - 10,24
Absentee by Mail,ICC-Absentee By Mail 2 - 11,47
Absentee by Mail,ICC-Absentee By Mail 2 - 12,103
Absentee by Mail,ICC-Absentee By Mail 2 - 13,84
Absentee by Mail,ICC-Absentee By Mail 2 - 14,74
Absentee by Mail,ICC-Absentee By Mail 2 - 15,70
Absentee by Mail,ICC-Absentee By Mail 1 - 21,57
Absentee by Mail,ICC-Absentee By Mail 2 - 17,12
Absentee by Mail,ICC-Absentee By Mail 2 - 18,15
Absentee by Mail,ICC-Absentee By Mail 2 - 19,11
Absentee by Mail,ICC-Absentee By Mail 2 - 20,84
Absentee by Mail,ICC-Absentee By Mail 1 - 22,75
Absentee by Mail,ICC-Absentee By Mail 1 - 23,10
Absentee by Mail,ICC-Absentee By Mail 1 - 24,99
Absentee by Mail,ICC-Absentee By Mail 1 - 25,99
Absentee by Mail,ICC-Absentee By Mail 1 - 26,81
Absentee by Mail,ICC-Absentee By Mail 1 - 27,52
Absentee by Mail,ICC-Absentee By Mail 1 - 28,89
Absentee by Mail,ICC-Absentee By Mail 1 - 29,73
Absentee by Mail,ICC-Absentee By Mail 1 - 30,76
Absentee by Mail,ICC-Absentee By Mail 1 - 31,17
Absentee by Mail,ICC-Absentee By Mail 1 - 32,20
Absentee by Mail,ICC-Absentee By Mail 1 - 33,68
Absentee by Mail,ICC-Absentee By Mail 1 - 34,92
Absentee by Mail,ICC-Absentee By Mail 1 - 35,80
Absentee by Mail,ICC-Absentee By Mail 1 - 36,98
Absentee by Mail,ICC-Absentee By Mail 1 - 37,69
Absentee by Mail,ICC-Absentee By Mail 1 - 38,37
Absentee by Mail,ICC-Absentee By Mail 2 - 21,54
Absentee by Mail,ICC-Absentee By Mail 2 - 22,66
Absentee by Mail,ICC-Absentee By Mail 1 - 39,100
Absentee by Mail,ICC-Absentee By Mail 2 - 23,50
Absentee by Mail,ICC-Absentee By Mail 2 - 24,46
Absentee by Mail,ICC-Absentee By Mail 1 - 40,7
Absentee by Mail,ICC-Absentee By Mail 2 - 25,29
Absentee by Mail,ICC-Absentee By Mail 1 - 41,21
Absentee by Mail,ICC-Absentee By Mail 1 - 42,31
Absentee by Mail,ICC-Absentee By Mail 2 - 26,14
