Container,Batch Name,Number of Ballots
Advanced Voting,ICC- BOE Advanced Voting 1 - 1,511
Advanced Voting,ICC- BOE Advanced Voting 1 - 3,543
Advanced Voting,ICC- BOE Advanced Voting 1 - 2,530
Advanced Voting,ICC- BOE Advanced Voting 1 - 4,530
Advanced Voting,ICC- BOE Advanced Voting 1 - 5,680
Absentee by Mail,ICC Absentee By Mail - 8,50
Absentee by Mail,ICC Absentee By Mail - 5,50
Absentee by Mail,ICC Absentee By Mail - 6,50
Absentee by Mail,ICC Absentee By Mail - 7,50
Absentee by Mail,ICC Absentee By Mail - 9,50
Absentee by Mail,ICC Absentee By Mail - 3,49
Absentee by Mail,ICC Absentee By Mail - 4,50
Absentee by Mail,ICC Absentee By Mail - 26,50
Absentee by Mail,ICC Absentee By Mail - 25,50
Absentee by Mail,ICC Absentee By Mail - 24,50
Absentee by Mail,ICC Absentee By Mail - 23,50
Absentee by Mail,ICC Absentee By Mail - 22,50
Absentee by Mail,ICC Absentee By Mail - 20,9
Absentee by Mail,ICC Absentee By Mail - 21,50
Absentee by Mail,ICC Absentee By Mail - 2,50
Absentee by Mail,ICC Absentee By Mail - 19,50
Absentee by Mail,ICC Absentee By Mail - 18,50
Absentee by Mail,ICC Absentee By Mail - 17,48
Absentee by Mail,ICC Absentee By Mail - 16,50
Absentee by Mail,ICC Absentee By Mail - 15,50
Absentee by Mail,ICC Absentee By Mail - 14,50
Absentee by Mail,ICC Absentee By Mail - 13,42
Absentee by Mail,ICC Absentee By Mail - 12,52
Absentee by Mail,ICC Absentee By Mail - 11,50
Absentee by Mail,ICC Absentee By Mail - 10,50
Absentee by Mail,ICC Absentee By Mail - 1,50
Absentee by Mail,ICC Absentee By Mail - 27,50
Absentee by Mail,ICC Absentee By Mail - 29,50
Absentee by Mail,ICC Absentee By Mail - 30,50
Absentee by Mail,ICC Absentee By Mail - 31,50
Absentee by Mail,ICC Absentee By Mail - 28,50
Absentee by Mail,ICC Absentee By Mail - 32,47
Advanced Voting,AV-Ballard ICP 1 - 0,5306
Advanced Voting,AV-Fire Station 2 ICP 1 - 0,5706
Advanced Voting,AV-Office Park Bldg ICP 2 - 0,1667
Absentee by Mail,Absentee Central ICP 1 - 0,232
Election Day,ED-ARCO ICP 1 - 0,152
Election Day,ED-HCP ICP 1 - 0,521
Election Day,ED-CPM ICP 1 - 0,366
Election Day,ED-BAL ICP 1 - 0,492
Election Day,ED-UPP ICP 1 - 0,328
Election Day,ED-SES ICP 1 - 0,1027
Election Day,ED-COG ICP 1 - 0,795
Election Day,ED-THE ICP 1 - 0,413
Election Day,ED-GICCA ICP 1 - 0,672
Election Day,ED-SSSI ICP 1 - 0,924
Election Day,ED-CSSI ICP 1 - 0,1476
Election Day,ED-NGLY ICP 1 - 0,795
Election Day,ED-BLY ICP 1 - 0,679
Election Day,ED-NSSI ICP 1 - 0,1282
Election Day,ED-NSB ICP 1 - 0,567
Election Day,ED-JI ICP 1 - 0,366
Election Day,ED-SEB ICP 1 - 0,448
Election Day,ED-MAR ICP 1 - 0,808
Election Day,ED-BRK ICP 1 - 0,957
Provisional,Provisonal Central ICP 1 - 0,27
