Container,Batch Name,Number of Ballots
Election Day,ED-New Salem ICP 1 - 0,451
Election Day,ED-Trenton ICP 1 - 0,513
Election Day,ED-West Brow ICP 1 - 0,403
Election Day,ED-North Dade ICP 1 - 0,415
Election Day,ED-South Dade ICP 1 - 0,301
Election Day,ED-Davis ICP 1 - 0,611
Advanced Voting,AV-County Admin Bldg ICP 1 - 0,2000
Election Day,ED-New Home ICP 1 - 0,263
Absentee by Mail,ICC - Absentee By Mail - 2,4
Absentee by Mail,ICC - Absentee By Mail - 4,40
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 1,46
Provisional,ICC - Provisional - 1,3
