Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,100
Absentee by Mail,Absentee By Mail ICC - 2,59
Absentee by Mail,Absentee By Mail ICC - 3,92
Advance Voting,AV-Elections Office ICP 1 - 0,2509
Election Day,ED-Cecil ICP 1 - 0,333
Election Day,ED-Elm Pine ICP 1 - 0,95
Election Day,ED-Sparks ICP 1 - 0,206
Election Day,ED-Massee ICP 1 - 0,206
Election Day,ED-Delle Beamguard ICP 1 - 0,480
Election Day,ED-Riverbend ICP 1 - 0,276
Election Day,ED-New Life Baptist Church ICP 1 - 0,351
Election Day,ED-Lenox ICP 1 - 0,437
Absentee by Mail,Absentee By Mail ICC - 4,1
