Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 4,51
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 14,4
Absentee by Mail,ICC - Absentee By Mail - 13,49
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 17,50
Absentee by Mail,ICC - Absentee By Mail - 18,50
Absentee by Mail,ICC - Absentee By Mail - 15,50
Absentee by Mail,ICC - Absentee By Mail - 16,50
Advanced Voting,AV-Courthouse ICP 1 - 0,3955
Advanced Voting,AV-Courthouse ICP 2 - 0,3955
Election Day,ED-3A ICP 1 - 0,585
Election Day,ED-1A ICP 1 - 0,350
Absentee by Mail,ICC - Absentee By Mail - 20,3
Absentee by Mail,ICC - Absentee By Mail - 21,13
Absentee by Mail,ICC - Absentee By Mail - 19,43
Election Day,ED-5A ICP 1 - 0,301
Election Day,ED-DG ICP 1 - 0,941
Election Day,ED-ES ICP 1 - 0,386
Election Day,ED-AN ICP 1 - 0,440
Election Day,ED-2A ICP 1 - 0,701
Election Day,ED-VA ICP 1 - 0,1637
Election Day,ED-6A ICP 1 - 0,237
Election Day,ED-UT ICP 1 - 0,466
Election Day,ED-NI ICP 1 - 0,851
Election Day,ED-MC ICP 1 - 0,654
Election Day,ED-GL ICP 1 - 0,646
Election Day,ED-FI ICP 1 - 0,544
Election Day,ED-TR ICP 1 - 0,575
Election Day,ED-4A ICP 1 - 0,602
Election Day,ED-TI ICP 1 - 0,253
Election Day,ED-LT ICP 1 - 0,451
Election Day,ED-CO ICP 1 - 0,582
Election Day,ED-CA ICP 1 - 0,627
Election Day,ED-PG ICP 1 - 0,1198
Election Day,ED-CO ICP 2 - 0,2
Election Day,ED-TH ICP 1 - 0,1108
Election Day,ED-WS ICP 1 - 0,826
Absentee by Mail,ICC - Absentee By Mail - 23,2
Absentee by Mail,ICC - Absentee By Mail - 22,1
Provisional,ICC - Provisional - 1,13
