Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 2,100
Absentee by Mail,ICC - Absentee By Mail - 9,8
Absentee by Mail,ICC - Absentee By Mail - 5,100
Absentee by Mail,ICC - Absentee By Mail - 4,100
Absentee by Mail,ICC - Absentee By Mail - 3,100
Absentee by Mail,ICC - Absentee By Mail - 7,24
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 8,56
Absentee by Mail,ICC - Absentee By Mail - 1,100
Advanced Voting,AV-Elections Office ICP 1 - 0,7252
Election Day,ED-Lily Pond ICP 1 - 0,504
Election Day,ED-Sugar Valley ICP 1 - 0,494
Election Day,ED-Oostanaula ICP 1 - 0,245
Election Day,ED-Red Bud ICP 1 - 0,887
Election Day,ED-Plainville ICP 1 - 0,605
Election Day,ED-Resaca ICP 1 - 0,479
Election Day,ED-Gordon County ICP 1 - 0,1242
Election Day,ED-Fairmount ICP 1 - 0,769
Election Day,ED-Pine Chapel ICP 1 - 0,367
Election Day,ED-Oakman ICP 1 - 0,480
Election Day,ED-Sonoraville ICP 1 - 0,1554
Election Day,ED-Calhoun City ICP 1 - 0,1562
Absentee by Mail,ICC - Absentee By Mail - 10,3
Provisional,ICC - Provisional - 1,11
