Container,Batch Name,Number of Ballots
Advanced Voting,AV-CT Martin Rec Center ICP 2 - 0,5202
Advanced Voting,AV-Alpharetta Library ICP 1 - 0,1372
Advanced Voting,AV-Fulton County Gov Ctr ICP 2 - 0,3465
Advanced Voting,AV-Buckhead Library ICP 1 - 0,1598
Advanced Voting,AV-Dorothy Benson Senior Ctr ICP 2 - 0,3829
Advanced Voting,AV-East Point Library ICP 1 - 0,3516
Advanced Voting,AV-NE Spruill Oaks Library ICP 2 - 0,5164
Advanced Voting,AV-Northside Library ICP 2 - 0,6386
Advanced Voting,AV-East Roswell Library ICP 2 - 0,4444
Advanced Voting,AV-Chastain Park Rec Center ICP 2 - 0,4046
Advanced Voting,AV-Dorothy Benson Senior Ctr ICP 1 - 0,3830
Advanced Voting,AV-Ponce De Leon Library ICP 2 - 0,5000
Advanced Voting,AV-NE Spruill Oaks Library ICP 1 - 0,1803
Advanced Voting,AV-GS Dennard Library ICP 2 - 0,3604
Advanced Voting,AV-Ponce De Leon Library ICP 3 - 0,1830
Advanced Voting,AV-Wolf Creek Library ICP 2 - 0,3799
Advanced Voting,AV-Alpharetta Library ICP 2 - 0,4290
Advanced Voting,AV-SW Arts Cener ICP 1 - 0,2490
Advanced Voting,AV-Robert F. Fulton Ocee Library ICP 1 - 0,3469
Advanced Voting,AV-CT Martin Rec Center ICP 1 - 0,4226
Advanced Voting,AV-North Fulton Svc Center ICP 1 - 0,4352
Advanced Voting,AV-Robert F. Fulton Ocee Library ICP 2 - 0,6413
Advanced Voting,AV-Chastain Park Rec Center ICP 1 - 0,3571
Advanced Voting,AV-Northside Library ICP 1 - 0,2168
Advanced Voting,AV-North Fulton Svc Center ICP 2 - 0,4013
Advanced Voting,AV-Palmetto Library ICP 2 - 0,2218
Advanced Voting,AV-Palmetto Library ICP 1 - 0,2874
Advanced Voting,AV-NW Branch Library Scotts Crossing ICP 1 - 0,2280
Advanced Voting,AV-NW Branch Library Scotts Crossing ICP 2 - 0,4058
Advanced Voting,AV-Metropolitan Library ICP 2 - 0,5577
