Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,49
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,49
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,49
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 14,50
Absentee by Mail,ICC - Absentee By Mail - 15,50
Absentee by Mail,ICC - Absentee By Mail - 16,50
Absentee by Mail,ICC - Absentee By Mail - 17,49
Absentee by Mail,ICC - Absentee By Mail - 18,50
Absentee by Mail,ICC - Absentee By Mail - 19,50
Absentee by Mail,ICC - Absentee By Mail - 20,50
Absentee by Mail,ICC - Absentee By Mail - 21,50
Absentee by Mail,ICC - Absentee By Mail - 22,50
Absentee by Mail,ICC - Absentee By Mail - 23,49
Absentee by Mail,ICC - Absentee By Mail - 24,50
Absentee by Mail,ICC - Absentee By Mail - 25,50
Absentee by Mail,ICC - Absentee By Mail - 26,50
Absentee by Mail,ICC - Absentee By Mail - 27,50
Absentee by Mail,ICC - Absentee By Mail - 28,50
Absentee by Mail,ICC - Absentee By Mail - 29,50
Absentee by Mail,ICC - Absentee By Mail - 30,50
Absentee by Mail,ICC - Absentee By Mail - 31,50
Absentee by Mail,ICC - Absentee By Mail - 32,49
Absentee by Mail,ICC - Absentee By Mail - 33,49
Absentee by Mail,ICC - Absentee By Mail - 34,49
Absentee by Mail,ICC - Absentee By Mail - 35,50
Absentee by Mail,ICC - Absentee By Mail - 36,50
Absentee by Mail,ICC - Absentee By Mail - 37,50
Absentee by Mail,ICC - Absentee By Mail - 38,50
Absentee by Mail,ICC - Absentee By Mail - 39,50
Absentee by Mail,ICC - Absentee By Mail - 40,24
Absentee by Mail,ICC - Absentee By Mail - 41,49
Absentee by Mail,ICC - Absentee By Mail - 42,50
Absentee by Mail,ICC - Absentee By Mail - 43,49
Absentee by Mail,ICC - Absentee By Mail - 44,50
Absentee by Mail,ICC - Absentee By Mail - 45,49
Absentee by Mail,ICC - Absentee By Mail - 46,49
Absentee by Mail,ICC - Absentee By Mail - 47,50
Absentee by Mail,ICC - Absentee By Mail - 48,49
Absentee by Mail,ICC - Absentee By Mail - 49,50
Absentee by Mail,ICC - Absentee By Mail - 50,50
Absentee by Mail,ICC - Absentee By Mail - 51,50
Absentee by Mail,ICC - Absentee By Mail - 52,50
Absentee by Mail,ICC - Absentee By Mail - 53,49
