Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,50
Absentee by Mail,Absentee By Mail ICC - 2,50
Absentee by Mail,Absentee By Mail ICC - 3,50
Absentee by Mail,Absentee By Mail ICC - 4,50
Absentee by Mail,Absentee By Mail ICC - 5,50
Absentee by Mail,Absentee By Mail ICC - 6,50
Absentee by Mail,Absentee By Mail ICC - 7,50
Absentee by Mail,Absentee By Mail ICC - 8,50
Absentee by Mail,Absentee By Mail ICC - 9,50
Absentee by Mail,Absentee By Mail ICC - 10,49
Absentee by Mail,Absentee By Mail ICC - 11,50
Absentee by Mail,Absentee By Mail ICC - 12,50
Absentee by Mail,Absentee By Mail ICC - 13,9
Absentee by Mail,Absentee By Mail ICC - 14,11
Advance Voting,AV-Elections Office ICP 1 - 0,4154
Election Day,ED-408 - Millwood Baptist Church ICP 1 - 0,252
Election Day,ED-100-200B - City Auditorium ICP 1 - 0,641
Election Day,ED-404 - Bickley UM Church ICP 1 - 0,189
Election Day,ED-200A - Memorial Stadium ICP 1 - 0,605
Election Day,ED-400 - Second Baptist Church ICP 1 - 0,840
Election Day,ED-300 - Ware BoE Transportation ICP 1 - 0,808
Election Day,ED-407 - Manor Commmunity Center ICP 1 - 0,273
Election Day,ED-405 - Haywood Baptist Church ICP 1 - 0,262
Election Day,ED-304 - Ware BoE Learning Center ICP 1 - 0,269
Election Day,ED-409 - Waresboro Church of God ICP 1 - 0,383
Election Day,ED-406 - Jamestown Baptist Church ICP 1 - 0,579
Provisional,Provisional ICC - 1,2
