Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,49
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,46
Absentee by Mail,ICC - Absentee By Mail - 12,2
Advanced Voting,AV-Elections Office ICP 2 - 0,2437
Advanced Voting,AV-Elections Office ICP 1 - 0,2425
Election Day,ED-Salem ICP 1 - 0,154
Absentee by Mail,ICC - Absentee By Mail - 13,3
Election Day,ED-Town ICP 1 - 0,610
Election Day,ED-Town ICP 2 - 0,594
Election Day,ED-Yatesville ICP 2 - 0,552
Election Day,ED-Redbone ICP 2 - 0,784
Election Day,ED-Redbone ICP 1 - 0,815
Provisional,ICC - Provisional - 1,2
