Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2486
Absentee by Mail,Absentee By Mail ICC - 1,50
Absentee by Mail,Absentee By Mail ICC - 2,50
Absentee by Mail,Absentee By Mail ICC - 3,50
Absentee by Mail,Absentee By Mail ICC - 4,50
Absentee by Mail,Absentee By Mail ICC - 5,48
Election Day,ED-Sylvester ICP 1 - 0,592
Election Day,ED-Red Rock ICP 1 - 0,395
Election Day,ED-Poulan ICP 1 - 0,329
Election Day,ED-Doles ICP 1 - 0,150
Election Day,ED-Minton ICP 1 - 0,382
Election Day,ED-Scooterville ICP 1 - 0,277
Election Day,ED-Sumner ICP 1 - 0,341
Election Day,ED-Isabella ICP 1 - 0,310
Election Day,ED-Sylvester East ICP 1 - 0,461
Election Day,ED-County Line ICP 1 - 0,234
Election Day,ED-Bridgeboro ICP 1 - 0,291
Election Day,ED-Warwick ICP 1 - 0,365
Provisional,Provisional ICC - 1,1
