Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail 1 - 1,50
Absentee by Mail,ICC-Absentee by Mail 2 - 1,50
Absentee by Mail,ICC-Absentee by Mail 3 - 1,50
Absentee by Mail,ICC-Absentee by Mail 1 - 2,50
Absentee by Mail,ICC-Absentee by Mail 2 - 2,50
Absentee by Mail,ICC-Absentee by Mail 3 - 2,50
Absentee by Mail,ICC-Absentee by Mail 4 - 1,50
Absentee by Mail,ICC-Absentee by Mail 4 - 2,50
Absentee by Mail,ICC-Absentee by Mail 1 - 3,50
Absentee by Mail,ICC-Absentee by Mail 2 - 3,50
Absentee by Mail,ICC-Absentee by Mail 1 - 4,26
Absentee by Mail,ICC-Absentee by Mail 4 - 3,50
Absentee by Mail,ICC-Absentee by Mail 3 - 3,50
Absentee by Mail,ICC-Absentee by Mail 3 - 4,50
Absentee by Mail,ICC-Absentee by Mail 2 - 4,50
Absentee by Mail,ICC-Absentee by Mail 4 - 4,50
Absentee by Mail,ICC-Absentee by Mail 1 - 5,50
Absentee by Mail,ICC-Absentee by Mail 2 - 5,50
Absentee by Mail,ICC-Absentee by Mail 4 - 5,50
Absentee by Mail,ICC-Absentee by Mail 3 - 5,50
Absentee by Mail,ICC-Absentee by Mail 1 - 6,50
Absentee by Mail,ICC-Absentee by Mail 2 - 6,50
Absentee by Mail,ICC-Absentee by Mail 4 - 6,50
Absentee by Mail,ICC-Absentee by Mail 3 - 6,50
Absentee by Mail,ICC-Absentee by Mail 3 - 7,49
Absentee by Mail,ICC-Absentee by Mail 2 - 7,50
Absentee by Mail,ICC-Absentee by Mail 1 - 7,50
Absentee by Mail,ICC-Absentee by Mail 4 - 7,50
Absentee by Mail,ICC-Absentee by Mail 1 - 8,50
Absentee by Mail,ICC-Absentee by Mail 2 - 8,50
Absentee by Mail,ICC-Absentee by Mail 4 - 8,50
Absentee by Mail,ICC-Absentee by Mail 2 - 9,50
Absentee by Mail,ICC-Absentee by Mail 1 - 9,53
Absentee by Mail,ICC-Absentee by Mail 2 - 10,50
Absentee by Mail,ICC-Absentee by Mail 4 - 9,50
Absentee by Mail,ICC-Absentee by Mail 2 - 11,50
Absentee by Mail,ICC-Absentee by Mail 1 - 10,50
Absentee by Mail,ICC-Absentee by Mail 1 - 11,50
Absentee by Mail,ICC-Absentee by Mail 4 - 10,50
Absentee by Mail,ICC-Absentee by Mail 4 - 11,50
Absentee by Mail,ICC-Absentee by Mail 1 - 12,50
Absentee by Mail,ICC-Absentee by Mail 2 - 12,50
Absentee by Mail,ICC-Absentee by Mail 4 - 12,51
Absentee by Mail,ICC-Absentee by Mail 1 - 13,28
Absentee by Mail,ICC-Absentee by Mail 2 - 13,50
Absentee by Mail,ICC-Absentee by Mail 4 - 13,50
Absentee by Mail,ICC-Absentee by Mail 2 - 14,50
Advance Voting,AV-Robert Howard Comm Ctr  ICP 1 - 0,5499
Absentee by Mail,ICC-Absentee by Mail 4 - 14,50
Absentee by Mail,ICC-Absentee by Mail 1 - 14,50
Absentee by Mail,ICC-Absentee by Mail 1 - 15,50
Absentee by Mail,ICC-Absentee by Mail 2 - 15,58
Advance Voting,AV-Elections Office  ICP 1 - 0,7579
Absentee by Mail,ICC-Absentee by Mail 4 - 15,50
Absentee by Mail,ICC-Absentee by Mail 2 - 16,50
Absentee by Mail,ICC-Absentee by Mail 4 - 16,50
Advance Voting,AV-Henry Brigham Center ICP 1 - 0,6781
Absentee by Mail,ICC-Absentee by Mail 4 - 17,50
Advance Voting,AV-Robert Howard Comm Ctr  ICP 2 - 0,2373
Advance Voting,AV-Warren Road Rec Center ICP 2 - 0,2588
Absentee by Mail,ICC-Absentee by Mail 1 - 16,50
Absentee by Mail,ICC-Absentee by Mail 2 - 17,50
Advance Voting,AV-Warren Road Rec Center ICP 1 - 0,4796
Absentee by Mail,ICC-Absentee by Mail 4 - 18,92
Absentee by Mail,ICC-Absentee by Mail 4 - 19,50
Absentee by Mail,ICC-Absentee by Mail 2 - 18,21
Absentee by Mail,ICC-Absentee by Mail 1 - 17,50
Absentee by Mail,ICC-Absentee by Mail 2 - 19,50
Absentee by Mail,ICC-Absentee by Mail 1 - 18,15
Absentee by Mail,ICC-Absentee by Mail 4 - 20,50
Absentee by Mail,ICC-Absentee by Mail 2 - 20,63
Absentee by Mail,ICC-Absentee by Mail 1 - 19,50
Absentee by Mail,ICC-Absentee by Mail 1 - 20,50
Absentee by Mail,ICC-Absentee by Mail 2 - 21,8
Absentee by Mail,ICC-Absentee by Mail 4 - 21,57
Absentee by Mail,ICC-Absentee by Mail 1 - 21,50
