Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office - ICP 1 - 0,1854
Absentee by Mail,ICC - Absentee by Mail - 1,25
Absentee by Mail,ICC - Absentee by Mail - 2,25
Absentee by Mail,ICC - Absentee by Mail - 3,25
Absentee by Mail,ICC - Absentee by Mail - 4,25
Absentee by Mail,ICC - Absentee by Mail - 5,20
Elections Day,ED-Blackburn 2 ICP 1 - 0,245
Elections Day,ED-Ocmulgee 2 ICP 1 - 0,157
Elections Day,ED-Hazlehurst ICP 1 - 0,268
Elections Day,ED-Southside Gym ICP 1 - 0,887
Elections Day,ED-Altamaha 2 ICP 1 - 0,462
Elections Day,ED-Whitehead 2 ICP 1 - 0,224
