Container,Batch Name,Number of Ballots
Elections Day,ED-JSCC ICP 1 - 0,763
Elections Day,ED-JSCC ICP 2 - 0,392
Advance Voting,AV-Elections Office - ICP 2 - 0,1001
Advance Voting,AV-Elections Office - ICP 1 - 0,1000
Absentee by Mail,ICC - Absentee by Mail - 1,25
Absentee by Mail,ICC - Absentee by Mail - 2,25
Absentee by Mail,ICC - Absentee by Mail - 3,25
Absentee by Mail,ICC - Absentee by Mail - 4,25
Absentee by Mail,ICC - Absentee by Mail - 5,21
Absentee by Mail,ICC - Absentee by Mail - 6,2
Absentee by Mail,ICC - Absentee by Mail - 7,3
