Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office - ICP 2 - 0,1093
Absentee by Mail,ICC - Absentee by Mail - 1,54
Absentee by Mail,ICC - Absentee by Mail - 2,56
Elections Day,ED-Uvalda ICP 1 - 0,290
Elections Day,ED-MtVernon ICP 1 - 0,340
Elections Day,ED-Ailey ICP 1 - 0,145
Elections Day,ED-Alston ICP 1 - 0,220
Elections Day,ED-Higgston ICP 1 - 0,447
Elections Day,ED-Kibbee ICP 1 - 0,239
Absentee by Mail,ICC - Absentee by Mail - 3,1
Elections Day,ED-Tarrytown ICP 1 - 0,156
