Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,49
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,35
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 10,16
Advance Voting,AV-Elections Office ICP 1 - 0,3998
Absentee by Mail,ICC-Absentee by Mail - 11,44
Election Day,ED-Hiawassee ICP 1 - 0,1189
Election Day,ED-Young Harris ICP 1 - 0,797
Absentee by Mail,ICC-Absentee by Mail - 12,6
Provisional,ICC-Provisional - 3,7
