Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 9,15
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 10,26
Advanced Voting,AV-Elections Office ICP 1 - 0,2102
Advanced Voting,AV-Elections Office ICP 2 - 0,1350
Advanced Voting,AV-Rockmart Comm Center ICP 1 - 0,1956
Advanced Voting,AV-Rockmart Comm Center ICP 2 - 0,1000
Election Day,ED-Aragon ICP 1 - 0,746
Election Day,ED-Blooming Grove ICP 1 - 0,424
Election Day,ED-Cedartown ICP 1 - 0,931
Election Day,ED-Fish Creek ICP 1 - 0,530
Election Day,ED-Fish Creek ICP 2 - 0,146
Election Day,ED-Lake Creek ICP 1 - 0,760
Election Day,ED-Rockmart ICP 1 - 0,1080
Election Day,ED-Youngs Grove ICP 1 - 0,529
Provisional,ICC - Provisional - 1,10
