Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,49
Absentee by Mail,ICC-Absentee by Mail - 2,6
Absentee by Mail,ICC-Absentee by Mail - 3,16
Absentee by Mail,ICC-Absentee by Mail - 4,46
Absentee by Mail,ICC-Absentee by Mail - 5,11
Absentee by Mail,ICC-Absentee by Mail - 6,7
Absentee by Mail,ICC-Absentee by Mail - 7,76
Absentee by Mail,ICC-Absentee by Mail - 8,35
Absentee by Mail,ICC-Absentee by Mail - 9,33
Absentee by Mail,ICC-Absentee by Mail - 10,6
Absentee by Mail,ICC-Absentee by Mail - 11,41
Absentee by Mail,ICC-Absentee by Mail - 12,8
Absentee by Mail,ICC-Absentee by Mail - 13,33
Absentee by Mail,ICC-Absentee by Mail - 14,46
Absentee by Mail,ICC-Absentee by Mail - 15,35
Absentee by Mail,ICC-Absentee by Mail - 16,44
Absentee by Mail,ICC-Absentee by Mail - 17,56
Absentee by Mail,ICC-Absentee by Mail - 18,24
Absentee by Mail,ICC-Absentee by Mail - 19,4
Advance Voting,AV-Elections Office ICP 1 - 0,3461
Advance Voting,AV-Elections Office ICP 2 - 0,1415
Election Day,ED-Danielsville ICP 1 - 0,554
Election Day,ED-Poca ICP 1 - 0,387
Election Day,ED-Ila ICP 1 - 0,476
Election Day,ED-Collins ICP 1 - 0,249
Election Day,ED-Mill ICP 1 - 0,505
Election Day,ED-Colbert ICP 1 - 0,923
Election Day,ED-Paoli ICP 1 - 0,120
Election Day,ED-Fork ICP 1 - 0,223
Election Day,ED-Pittman ICP 1 - 0,620
Election Day,ED-Comer ICP 1 - 0,465
Election Day,ED-Harrison ICP 1 - 0,291
Election Day,ED-Hull ICP 1 - 0,1126
Provisional,ICC-Provisional - 2,7
Absentee by Mail,ICC-Absentee by Mail - 20,17
