Container,Batch Name,Number of Ballots
Advance Voting,AV-G3  ICP 4 - 0,3509
Advance Voting,AV-G3  ICP 3 - 0,1083
Advance Voting,AV-G3  ICP 1 - 0,3228
Advance Voting,AV-G3  ICP 2 - 0,3442
Advance Voting,AV-Former Euchee Creek Library  ICP 4 - 0,2026
Advance Voting,AV-Former Euchee Creek Library  ICP 3 - 0,2246
Advance Voting,AV-Former Euchee Creek Library  ICP 2 - 0,2100
Advance Voting,AV-Former Euchee Creek Library  ICP 1 - 0,2285
Election Day,ED-Eubank-Blanchard Ctr  ICP 1 - 0,596
Election Day,ED-Christ Church Presbyterian  ICP 1 - 0,766
Election Day,ED-New Life Church  ICP 1 - 0,225
Election Day,ED-Kiokee Bapt Church  ICP 1 - 0,1132
Absentee by Mail,ICC-Absentee by Mail 2 - 9,50
Absentee by Mail,ICC-Absentee by Mail 2 - 28,50
Absentee by Mail,ICC-Absentee by Mail 2 - 3,50
Absentee by Mail,ICC-Absentee by Mail 2 - 29,50
Absentee by Mail,ICC-Absentee by Mail 2 - 30,50
Absentee by Mail,ICC-Absentee by Mail 2 - 26,50
Absentee by Mail,ICC-Absentee by Mail 2 - 31,50
Absentee by Mail,ICC-Absentee by Mail 2 - 32,50
Absentee by Mail,ICC-Absentee by Mail 2 - 27,50
Absentee by Mail,ICC-Absentee by Mail 2 - 33,27
Absentee by Mail,ICC-Absentee by Mail 2 - 38,50
Absentee by Mail,ICC-Absentee by Mail 2 - 39,50
Absentee by Mail,ICC-Absentee by Mail 2 - 37,50
Absentee by Mail,ICC-Absentee by Mail 2 - 34,50
Absentee by Mail,ICC-Absentee by Mail 2 - 36,50
Absentee by Mail,ICC-Absentee by Mail 2 - 35,50
Absentee by Mail,ICC-Absentee by Mail 2 - 25,32
Absentee by Mail,ICC-Absentee by Mail 2 - 24,50
Absentee by Mail,ICC-Absentee by Mail 2 - 14,50
Absentee by Mail,ICC-Absentee by Mail 2 - 12,50
Absentee by Mail,ICC-Absentee by Mail 2 - 10,50
Absentee by Mail,ICC-Absentee by Mail 2 - 11,50
Absentee by Mail,ICC-Absentee by Mail 2 - 16,50
Absentee by Mail,ICC-Absentee by Mail 2 - 17,50
Absentee by Mail,ICC-Absentee by Mail 2 - 18,50
Absentee by Mail,ICC-Absentee by Mail 2 - 22,50
Absentee by Mail,ICC-Absentee by Mail 2 - 23,3
Absentee by Mail,ICC-Absentee by Mail 2 - 21,50
Absentee by Mail,ICC-Absentee by Mail 2 - 20,50
Absentee by Mail,ICC-Absentee by Mail 2 - 19,50
Absentee by Mail,ICC-Absentee by Mail 2 - 2,49
Absentee by Mail,ICC-Absentee by Mail 2 - 4,50
Absentee by Mail,ICC-Absentee by Mail 2 - 40,9
Absentee by Mail,ICC-Absentee by Mail 2 - 60,49
Absentee by Mail,ICC-Absentee by Mail 2 - 61,50
Absentee by Mail,ICC-Absentee by Mail 2 - 6,8
Absentee by Mail,ICC-Absentee by Mail 2 - 59,50
Absentee by Mail,ICC-Absentee by Mail 2 - 57,29
Absentee by Mail,ICC-Absentee by Mail 2 - 58,11
Absentee by Mail,ICC-Absentee by Mail 2 - 62,50
Absentee by Mail,ICC-Absentee by Mail 2 - 63,50
Absentee by Mail,ICC-Absentee by Mail 2 - 64,6
Absentee by Mail,ICC-Absentee by Mail 2 - 7,50
Absentee by Mail,ICC-Absentee by Mail 2 - 8,50
Absentee by Mail,ICC-Absentee by Mail 2 - 68,10
Absentee by Mail,ICC-Absentee by Mail 2 - 67,52
Absentee by Mail,ICC-Absentee by Mail 2 - 65,35
Absentee by Mail,ICC-Absentee by Mail 2 - 66,56
Absentee by Mail,ICC-Absentee by Mail 2 - 56,50
Absentee by Mail,ICC-Absentee by Mail 2 - 55,50
Absentee by Mail,ICC-Absentee by Mail 2 - 45,50
Absentee by Mail,ICC-Absentee by Mail 2 - 46,50
Absentee by Mail,ICC-Absentee by Mail 2 - 44,50
Absentee by Mail,ICC-Absentee by Mail 2 - 43,50
Absentee by Mail,ICC-Absentee by Mail 2 - 41,10
Absentee by Mail,ICC-Absentee by Mail 2 - 42,50
Absentee by Mail,ICC-Absentee by Mail 2 - 47,50
Absentee by Mail,ICC-Absentee by Mail 2 - 48,50
Absentee by Mail,ICC-Absentee by Mail 2 - 49,15
Absentee by Mail,ICC-Absentee by Mail 2 - 53,50
Absentee by Mail,ICC-Absentee by Mail 2 - 54,50
Absentee by Mail,ICC-Absentee by Mail 2 - 52,50
Absentee by Mail,ICC-Absentee by Mail 2 - 51,50
Absentee by Mail,ICC-Absentee by Mail 2 - 5,35
Absentee by Mail,ICC-Absentee by Mail 2 - 50,50
Absentee by Mail,ICC-Absentee by Mail 2 - 1,50
Election Day,ED-Grove First Baptist Church  ICP 1 - 0,586
Election Day,ED-Columbia Co Health Dept  ICP 1 - 0,464
Election Day,ED-Columbia Co Fire HDQTR  ICP 1 - 0,407
Election Day,ED-Columbia Co Health Dept  ICP 2 - 0,464
Election Day,ED-Harlem Senior Center  ICP 1 - 0,621
Election Day,ED-G A Apostolic Church  ICP 1 - 0,563
Election Day,ED-Stevens Creek Church - Grovetown  ICP 1 - 0,478
Election Day,ED-Savannah Rapids Pavilion  ICP 1 - 0,33
Election Day,ED-Savannah Rapids Pavilion  ICP 2 - 0,540
Election Day,ED-Lakeside Middle  ICP 1 - 0,568
Election Day,ED-Riverview Church  ICP 1 - 0,477
Election Day,ED-Harlem Branch Library  ICP 1 - 0,788
Election Day,ED-Belair Baptist Church  ICP 1 - 0,881
Absentee by Mail,ICC-Absentee by Mail 2 - 15,50
Absentee by Mail,ICC-Absentee by Mail 2 - 13,50
Election Day,ED-Church of Our Savior  ICP 1 - 0,724
Election Day,ED-Westside Bapt Church  ICP 1 - 0,607
Election Day,ED-Gold Cross EMS  ICP 1 - 0,550
Election Day,ED-Christ Sanctified  ICP 1 - 0,842
Election Day,ED-Col Cty Main Library  ICP 1 - 0,613
Election Day,ED-Blueridge Elementary  ICP 1 - 0,659
Election Day,ED-Second Mt. Carmel Baptist Church  ICP 1 - 0,310
Election Day,ED-Bessie Thomas Center  ICP 1 - 0,251
Election Day,ED-Parkway Elem School  ICP 1 - 0,846
Election Day,ED-Patriots Park  ICP 1 - 0,597
Election Day,ED-Liberty Park-Grovetown  ICP 1 - 0,773
Election Day,ED-Greenbrier High  ICP 1 - 0,1330
Election Day,ED-Lewis Methodist  ICP 2 - 0,237
Election Day,ED-Lewis Methodist  ICP 1 - 0,1049
Election Day,ED-Martinez Baptist  ICP 1 - 0,601
