Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,40
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,31
Absentee by Mail,ICC-Absentee by Mail - 4,42
Absentee by Mail,ICC-Absentee by Mail - 5,28
Absentee by Mail,ICC-Absentee by Mail - 6,42
Absentee by Mail,ICC-Absentee by Mail - 7,40
Absentee by Mail,ICC-Absentee by Mail - 8,33
Absentee by Mail,ICC-Absentee by Mail - 9,32
Absentee by Mail,ICC-Absentee by Mail - 10,43
Absentee by Mail,ICC-Absentee by Mail - 11,37
Absentee by Mail,ICC-Absentee by Mail - 12,37
Absentee by Mail,ICC-Absentee by Mail - 13,34
Absentee by Mail,ICC-Absentee by Mail - 14,40
Absentee by Mail,ICC-Absentee by Mail - 15,39
Absentee by Mail,ICC-Absentee by Mail - 16,33
Absentee by Mail,ICC-Absentee by Mail - 17,40
Absentee by Mail,ICC-Absentee by Mail - 18,39
Absentee by Mail,ICC-Absentee by Mail - 19,50
Absentee by Mail,ICC-Absentee by Mail - 20,31
Absentee by Mail,ICC-Absentee by Mail - 21,41
Absentee by Mail,ICC-Absentee by Mail - 22,50
Absentee by Mail,ICC-Absentee by Mail - 23,46
Absentee by Mail,ICC-Absentee by Mail - 24,49
Absentee by Mail,ICC-Absentee by Mail - 25,17
Absentee by Mail,ICC-Absentee by Mail - 26,38
Absentee by Mail,ICC-Absentee by Mail - 27,36
Absentee by Mail,ICC-Absentee by Mail - 28,39
Absentee by Mail,ICC-Absentee by Mail - 29,28
Absentee by Mail,ICC-Absentee by Mail - 30,26
Absentee by Mail,ICC-Absentee by Mail - 31,50
Absentee by Mail,ICC-Absentee by Mail - 32,41
Absentee by Mail,ICC-Absentee by Mail - 33,31
Absentee by Mail,ICC-Absentee by Mail - 34,32
Absentee by Mail,ICC-Absentee by Mail - 35,40
Absentee by Mail,ICC-Absentee by Mail - 36,44
Absentee by Mail,ICC-Absentee by Mail - 37,34
Absentee by Mail,ICC-Absentee by Mail - 38,28
Absentee by Mail,ICC-Absentee by Mail - 39,40
Absentee by Mail,ICC-Absentee by Mail - 40,43
Absentee by Mail,ICC-Absentee by Mail - 41,27
Absentee by Mail,ICC-Absentee by Mail - 42,25
Absentee by Mail,ICC-Absentee by Mail - 43,32
Absentee by Mail,ICC-Absentee by Mail - 44,23
Absentee by Mail,ICC-Absentee by Mail - 45,32
Advance Voting,AV-Elections Office  ICP 1 - 0,4114
Advance Voting,AV-Elections Office  ICP 2 - 0,3682
Advance Voting,AV-Social Circle City Hall  ICP 1 - 0,1864
Advance Voting,AV-Meridian Park  ICP 1 - 0,9263
Election Day,ED-South Monroe  ICP 1 - 0,702
Election Day,ED-Walker Park  ICP 1 - 0,1080
Election Day,ED-E Monroe  ICP 1 - 0,821
Election Day,ED-Gratis  ICP 1 - 0,551
Election Day,ED-Tara  ICP 1 - 0,766
Election Day,ED-W Monroe  ICP 1 - 0,564
Election Day,ED-Bold Springs  ICP 1 - 0,1404
Election Day,ED-Good Hope  ICP 1 - 0,960
Election Day,ED-Loganville North  ICP 1 - 0,1010
Election Day,ED-Between  ICP 1 - 0,1345
Election Day,ED-Walnut Grove  ICP 1 - 0,773
Election Day,ED-North Monroe  ICP 1 - 0,837
Election Day,ED-Loganville South  ICP 1 - 0,714
Election Day,ED-Bay Creek  ICP 1 - 0,747
Election Day,ED-Blasingame  ICP 1 - 0,485
Election Day,ED-Whatley  ICP 1 - 0,424
Election Day,ED-West Walton  ICP 1 - 0,395
Election Day,ED-West Walton  ICP 2 - 0,747
Election Day,ED-Social Circle  ICP 1 - 0,933
Election Day,ED-Mountain  ICP 1 - 0,612
Election Day,ED-Jersey  ICP 1 - 0,766
Election Day,ED-Broken Arrow  ICP 1 - 0,1032
Absentee by Mail,ICC-Absentee by Mail - 46,4
Provisional,ICC-Provisional - 1,6
Election Day,ICC-Election Day - 1,1
