Container,Batch Name,Number of Ballots
Elections Day,ED-Memorial ICP 1 - 0,194
Advance Voting,AV-Elections Office - ICP 2 - 0,2962
Elections Day,ED-Allenhurst ICP 1 - 0,240
Advance Voting,AV-Elections Office - ICP 1 - 0,5657
Elections Day,ED-Lewis Frasier ICP 1 - 0,308
Elections Day,ED-Progressive Church ICP 1 - 0,259
Elections Day,ED-Liberty CC ICP 1 - 0,744
Elections Day,ED-Hinesville ICP 1 - 0,422
Elections Day,ED-Lyman ICP 1 - 0,453
Elections Day,ED-Fleming East ICP 1 - 0,581
Elections Day,ED-Victory Baptist ICP 1 - 0,432
Elections Day,ED-Gum Branch ICP 1 - 0,506
Elections Day,ED-Riceboro ICP 1 - 0,221
Elections Day,ED-Performing Arts CTR ICP 1 - 0,269
Absentee by Mail,ICC - Absentee by Mail - 1,20
Absentee by Mail,ICC - Absentee by Mail - 2,26
Absentee by Mail,ICC - Absentee by Mail - 3,31
Absentee by Mail,ICC - Absentee by Mail - 4,35
Absentee by Mail,ICC - Absentee by Mail - 5,24
Absentee by Mail,ICC - Absentee by Mail - 6,46
Absentee by Mail,ICC - Absentee by Mail - 7,39
Absentee by Mail,ICC - Absentee by Mail - 8,31
Absentee by Mail,ICC - Absentee by Mail - 9,50
Absentee by Mail,ICC - Absentee by Mail - 10,19
Absentee by Mail,ICC - Absentee by Mail - 11,4
Absentee by Mail,ICC - Absentee by Mail - 12,43
Absentee by Mail,ICC - Absentee by Mail - 13,45
Absentee by Mail,ICC - Absentee by Mail - 14,50
Absentee by Mail,ICC - Absentee by Mail - 15,27
Absentee by Mail,ICC - Absentee by Mail - 16,32
Absentee by Mail,ICC - Absentee by Mail - 17,49
Absentee by Mail,ICC - Absentee by Mail - 18,2
Absentee by Mail,ICC - Absentee by Mail - 19,38
Absentee by Mail,ICC - Absentee by Mail - 20,32
Absentee by Mail,ICC - Absentee by Mail - 21,33
Absentee by Mail,ICC - Absentee by Mail - 22,50
Absentee by Mail,ICC - Absentee by Mail - 23,39
Absentee by Mail,ICC - Absentee by Mail - 24,30
Absentee by Mail,ICC - Absentee by Mail - 25,33
Absentee by Mail,ICC - Absentee by Mail - 26,35
Absentee by Mail,ICC - Absentee by Mail - 27,50
Absentee by Mail,ICC - Absentee by Mail - 28,35
Absentee by Mail,ICC - Absentee by Mail - 29,31
Provisional,ICC - Provisional - 1,2
Absentee by Mail,ICC - Absentee by Mail - 30,9
