Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail - 1,25
Absentee by Mail,ICC - Absentee by Mail - 2,24
Absentee by Mail,ICC - Absentee by Mail - 3,25
Absentee by Mail,ICC - Absentee by Mail - 4,25
Absentee by Mail,ICC - Absentee by Mail - 5,25
Absentee by Mail,ICC - Absentee by Mail - 6,25
Absentee by Mail,ICC - Absentee by Mail - 7,25
Absentee by Mail,ICC - Absentee by Mail - 8,25
Absentee by Mail,ICC - Absentee by Mail - 9,25
Absentee by Mail,ICC - Absentee by Mail - 10,25
Absentee by Mail,ICC - Absentee by Mail - 11,25
Absentee by Mail,ICC - Absentee by Mail - 12,25
Absentee by Mail,ICC - Absentee by Mail - 13,25
Absentee by Mail,ICC - Absentee by Mail - 14,25
Absentee by Mail,ICC - Absentee by Mail - 15,25
Absentee by Mail,ICC - Absentee by Mail - 16,25
Absentee by Mail,ICC - Absentee by Mail - 17,1
Advance Voting,AV-Elections Office - ICP 1 - 0,4375
Elections Day,ED-Oglethorpe-Red Hill I ICP 1 - 0,664
Elections Day,ED-Empire-Unity ICP 1 - 0,703
Elections Day,ED-Pine Street-Rec Center ICP 1 - 0,661
Elections Day,ED-Gardi ICP 1 - 0,413
Elections Day,ED-Screven ICP 1 - 0,635
Elections Day,ED-Odum-Madray Springs ICP 1 - 0,843
Elections Day,ED-Altamaha-VFW ICP 1 - 0,541
