Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,1181
Election Day,ED-Cuthbert-Courthouse ICP 1 - 0,425
Absentee by Mail,Absentee By Mail ICC - 1,25
Absentee by Mail,Absentee By Mail ICC - 2,3
Absentee by Mail,Absentee By Mail ICC - 3,25
Absentee by Mail,Absentee By Mail ICC - 4,23
Absentee by Mail,Absentee By Mail ICC - 5,20
Absentee by Mail,Absentee By Mail ICC - 6,16
Absentee by Mail,Absentee By Mail ICC - 7,24
Absentee by Mail,Absentee By Mail ICC - 8,25
Election Day,ED-Springvale ICP 1 - 0,73
Election Day,ED-Cuthbert ICP 1 - 0,63
Election Day,ED-Benevolence ICP 1 - 0,85
Election Day,ED-Coleman ICP 1 - 0,90
Election Day,ED-Shellman ICP 1 - 0,334
