Container,Batch Name,Number of Ballots
Advanced Voting,AV-County Admin Bldg ICP 1 - 0,3211
Advanced Voting,AV-County Admin Bldg ICP 2 - 0,3913
Election Day,ED-Central ICP 2 - 0,681
Election Day,ED-Central ICP 1 - 0,1124
Election Day,ED-West ICP 2 - 0,294
Election Day,ED-West ICP 1 - 0,456
Election Day,ED-East ICP 2 - 0,849
Election Day,ED-East ICP 1 - 0,1174
Absentee by Mail,ICC - Absentee By Mail - 9,6
Absentee by Mail,ICC - Absentee By Mail - 11,6
Absentee by Mail,ICC - Absentee By Mail - 12,38
Absentee by Mail,ICC - Absentee By Mail - 14,46
Absentee by Mail,ICC - Absentee By Mail - 13,49
Absentee by Mail,ICC - Absentee By Mail - 3,8
Absentee by Mail,ICC - Absentee By Mail - 2,18
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 15,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 6,32
Absentee by Mail,ICC - Absentee By Mail - 4,49
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 5,49
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 16,5
Provisional,ICC - Provisional - 1,14
