Container,Batch Name,Number of Ballots
Advanced Voting,AV-Elections Office ICP 1 - 0,2592
Absentee by Mail,ICC-Absentee By Mail - 1,25
Absentee by Mail,ICC-Absentee By Mail - 19,25
Absentee by Mail,ICC-Absentee By Mail - 2,25
Absentee by Mail,ICC-Absentee By Mail - 6,25
Absentee by Mail,ICC-Absentee By Mail - 7,25
Absentee by Mail,ICC-Absentee By Mail - 8,25
Absentee by Mail,ICC-Absentee By Mail - 5,25
Absentee by Mail,ICC-Absentee By Mail - 4,25
Absentee by Mail,ICC-Absentee By Mail - 20,25
Absentee by Mail,ICC-Absentee By Mail - 21,7
Absentee by Mail,ICC-Absentee By Mail - 3,25
Absentee by Mail,ICC-Absentee By Mail - 17,25
Absentee by Mail,ICC-Absentee By Mail - 16,25
Absentee by Mail,ICC-Absentee By Mail - 14,9
Absentee by Mail,ICC-Absentee By Mail - 13,25
Absentee by Mail,ICC-Absentee By Mail - 10,25
Absentee by Mail,ICC-Absentee By Mail - 12,25
Absentee by Mail,ICC-Absentee By Mail - 15,25
Absentee by Mail,ICC-Absentee By Mail - 18,25
Absentee by Mail,ICC-Absentee By Mail - 11,25
Absentee by Mail,ICC-Absentee By Mail - 9,25
Election Day,ED-Louisville ICP 1 - 0,594
Election Day,ED-Wadley ICP 1 - 0,434
Election Day,ED-Avera ICP 1 - 0,198
Election Day,ED-Stapleton Crossroads ICP 1 - 0,134
Election Day,ED-Wrens ICP 1 - 0,836
Election Day,ED-Stapleton ICP 1 - 0,278
Election Day,ED-Matthews ICP 1 - 0,272
Election Day,ED-Bartow ICP 1 - 0,152
Provisional,ICC-Provisional - 1,2
