Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,1489
Election Day,ED-Dawson ICP 1 - 0,511
Election Day,ED-Sasser ICP 1 - 0,411
Election Day,ED-Bronwood ICP 1 - 0,224
Election Day,ED-Herod-Dover ICP 1 - 0,98
Election Day,ED-Graves ICP 1 - 0,174
Election Day,ED-Parrott ICP 1 - 0,179
Absentee by Mail,Absentee By Mail ICC - 1,144
Absentee by Mail,Absentee By Mail ICC - 3,9
Absentee by Mail,Absentee By Mail ICC - 2,111
Provisional,Provisional ICC - 1,2
