Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 6,25
Absentee by Mail,ICC - Absentee By Mail - 4,25
Absentee by Mail,ICC - Absentee By Mail - 3,25
Absentee by Mail,ICC - Absentee By Mail - 2,24
Absentee by Mail,ICC - Absentee By Mail - 1,27
Absentee by Mail,ICC - Absentee By Mail - 5,25
Absentee by Mail,ICC - Absentee By Mail - 7,25
Absentee by Mail,ICC - Absentee By Mail - 8,25
Absentee by Mail,ICC - Absentee By Mail - 9,25
Absentee by Mail,ICC - Absentee By Mail - 10,25
Absentee by Mail,ICC - Absentee By Mail - 11,25
Absentee by Mail,ICC - Absentee By Mail - 12,26
Absentee by Mail,ICC - Absentee By Mail - 13,3
Absentee by Mail,ICC - Absentee By Mail - 14,25
Absentee by Mail,ICC - Absentee By Mail - 15,25
Absentee by Mail,ICC - Absentee By Mail - 16,25
Absentee by Mail,ICC - Absentee By Mail - 17,25
Absentee by Mail,ICC - Absentee By Mail - 18,25
Absentee by Mail,ICC - Absentee By Mail - 19,25
Absentee by Mail,ICC - Absentee By Mail - 20,25
Absentee by Mail,ICC - Absentee By Mail - 21,25
Absentee by Mail,ICC - Absentee By Mail - 22,25
Absentee by Mail,ICC - Absentee By Mail - 23,25
Absentee by Mail,ICC - Absentee By Mail - 24,25
Absentee by Mail,ICC - Absentee By Mail - 25,24
Absentee by Mail,ICC - Absentee By Mail - 26,23
Absentee by Mail,ICC - Absentee By Mail - 27,25
Absentee by Mail,ICC - Absentee By Mail - 28,25
Absentee by Mail,ICC - Absentee By Mail - 29,25
Absentee by Mail,ICC - Absentee By Mail - 30,25
Absentee by Mail,ICC - Absentee By Mail - 31,25
Absentee by Mail,ICC - Absentee By Mail - 32,4
Absentee by Mail,ICC - Absentee By Mail - 33,8
Absentee by Mail,ICC - Absentee By Mail - 34,4
Election Day,ED-Ringgold ICP 2 - 0,504
Election Day,ED-Ringgold ICP 1 - 0,898
Advanced Voting,AV-Ringgold ICP 1 - 0,2494
Advanced Voting,AV-Ringgold ICP 2 - 0,4091
Advanced Voting,AV-Westside ICP 2 - 0,2112
Advanced Voting,AV-Westside ICP 1 - 0,2110
Election Day,ED-Boynton ICP 2 - 0,685
Election Day,ED-Boynton ICP 1 - 0,685
Election Day,ED-Ft Oglethorpe ICP 1 - 0,364
Election Day,ED-Ft Oglethorpe ICP 2 - 0,389
Election Day,ED-Lakeview ICP 1 - 0,558
Election Day,ED-Westside ICP 2 - 0,396
Election Day,ED-Westside ICP 1 - 0,472
Election Day,ED-Graysville ICP 1 - 0,309
Election Day,ED-Graysville ICP 2 - 0,826
Election Day,ED-Poplar Springs ICP 1 - 0,261
Election Day,ED-Poplar Springs ICP 2 - 0,679
Election Day,ED-Chambers ICP 1 - 0,829
Election Day,ED-Woodstation ICP 1 - 0,965
Election Day,ED-Blackstock ICP 1 - 0,552
Election Day,ED-Catoosa Keith ICP 1 - 0,758
Provisional,ICC - Provisional - 1,11
