Container,Batch Name,Number of Ballots
Advanced Voting,AV-VR Office ICP 1 - 0,3013
Absentee by Mail,ICC - Absentee By Mail - 6,3
Absentee by Mail,ICC - Absentee By Mail - 5,11
Absentee by Mail,ICC - Absentee By Mail - 3,49
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 1,50
Election Day,ED-Dirttown ICP 1 - 0,353
Election Day,ED-Menlo ICP 1 - 0,435
Election Day,ED-Lyerly Fire ICP 1 - 0,489
Election Day,ED-Trion Rec ICP 1 - 0,1080
Election Day,ED-Subligna ICP 1 - 0,205
Election Day,ED-Summerville ICP 1 - 0,980
Election Day,ED-Haywood ICP 1 - 0,79
