Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail 1 - 1,18
Absentee by Mail,ICC - Absentee by Mail 1 - 7,19
Absentee by Mail,ICC - Absentee by Mail 1 - 8,19
Absentee by Mail,ICC - Absentee by Mail 1 - 9,10
Absentee by Mail,ICC - Absentee by Mail 1 - 4,60
Absentee by Mail,ICC - Absentee by Mail 1 - 3,43
Absentee by Mail,ICC - Absentee by Mail 1 - 25,32
Absentee by Mail,ICC - Absentee by Mail 1 - 26,22
Absentee by Mail,ICC - Absentee by Mail 1 - 27,23
Absentee by Mail,ICC - Absentee by Mail 1 - 28,27
Absentee by Mail,ICC - Absentee by Mail 1 - 29,28
Absentee by Mail,ICC - Absentee by Mail 2 - 18,13
Absentee by Mail,ICC - Absentee by Mail 2 - 2,43
Absentee by Mail,ICC - Absentee by Mail 2 - 9,44
Absentee by Mail,ICC - Absentee by Mail 2 - 20,56
Absentee by Mail,ICC - Absentee by Mail 2 - 19,50
Absentee by Mail,ICC - Absentee by Mail 2 - 16,17
Absentee by Mail,ICC - Absentee by Mail 2 - 21,50
Absentee by Mail,ICC - Absentee by Mail 2 - 22,48
Absentee by Mail,ICC - Absentee by Mail 2 - 23,28
Absentee by Mail,ICC - Absentee by Mail 2 - 17,33
Absentee by Mail,ICC - Absentee by Mail 2 - 12,11
Absentee by Mail,ICC - Absentee by Mail 2 - 11,30
Absentee by Mail,ICC - Absentee by Mail 2 - 1,37
Absentee by Mail,ICC - Absentee by Mail 2 - 10,37
Absentee by Mail,ICC - Absentee by Mail 2 - 13,16
Absentee by Mail,ICC - Absentee by Mail 2 - 35,33
Absentee by Mail,ICC - Absentee by Mail 2 - 14,46
Absentee by Mail,ICC - Absentee by Mail 2 - 25,52
Absentee by Mail,ICC - Absentee by Mail 2 - 24,57
Absentee by Mail,ICC - Absentee by Mail 2 - 15,41
Absentee by Mail,ICC - Absentee by Mail 2 - 4,36
Absentee by Mail,ICC - Absentee by Mail 2 - 6,59
Absentee by Mail,ICC - Absentee by Mail 2 - 5,37
Absentee by Mail,ICC - Absentee by Mail 2 - 34,30
Absentee by Mail,ICC - Absentee by Mail 2 - 8,55
Absentee by Mail,ICC - Absentee by Mail 2 - 32,30
Absentee by Mail,ICC - Absentee by Mail 2 - 27,20
Absentee by Mail,ICC - Absentee by Mail 2 - 26,33
Absentee by Mail,ICC - Absentee by Mail 2 - 33,26
Absentee by Mail,ICC - Absentee by Mail 2 - 7,51
Absentee by Mail,ICC - Absentee by Mail 2 - 29,16
Absentee by Mail,ICC - Absentee by Mail 2 - 30,21
Absentee by Mail,ICC - Absentee by Mail 2 - 3,50
Absentee by Mail,ICC - Absentee by Mail 2 - 31,33
Absentee by Mail,ICC - Absentee by Mail 2 - 28,77
Absentee by Mail,ICC - Absentee by Mail 1 - 18,18
Absentee by Mail,ICC - Absentee by Mail 1 - 19,39
Absentee by Mail,ICC - Absentee by Mail 1 - 2,49
Absentee by Mail,ICC - Absentee by Mail 1 - 21,30
Absentee by Mail,ICC - Absentee by Mail 1 - 20,56
Absentee by Mail,ICC - Absentee by Mail 1 - 10,20
Absentee by Mail,ICC - Absentee by Mail 1 - 11,32
Absentee by Mail,ICC - Absentee by Mail 1 - 17,38
Absentee by Mail,ICC - Absentee by Mail 1 - 15,31
Absentee by Mail,ICC - Absentee by Mail 1 - 16,50
Absentee by Mail,ICC - Absentee by Mail 1 - 13,13
Absentee by Mail,ICC - Absentee by Mail 1 - 22,30
Absentee by Mail,ICC - Absentee by Mail 1 - 14,19
Absentee by Mail,ICC - Absentee by Mail 1 - 12,36
Absentee by Mail,ICC - Absentee by Mail 1 - 23,35
Absentee by Mail,ICC - Absentee by Mail 1 - 6,31
Absentee by Mail,ICC - Absentee by Mail 1 - 5,46
Absentee by Mail,ICC - Absentee by Mail 2 - 36,14
Absentee by Mail,ICC - Absentee by Mail 2 - 43,37
Absentee by Mail,ICC - Absentee by Mail 2 - 38,6
Absentee by Mail,ICC - Absentee by Mail 2 - 37,29
Absentee by Mail,ICC - Absentee by Mail 2 - 39,23
Absentee by Mail,ICC - Absentee by Mail 2 - 40,6
Absentee by Mail,ICC - Absentee by Mail 2 - 42,29
Absentee by Mail,ICC - Absentee by Mail 2 - 41,12
Absentee by Mail,ICC - Absentee by Mail 1 - 31,36
Absentee by Mail,ICC - Absentee by Mail 1 - 32,22
Absentee by Mail,ICC - Absentee by Mail 1 - 33,28
Absentee by Mail,ICC - Absentee by Mail 1 - 30,26
Absentee by Mail,ICC - Absentee By Mail 3 - 17,10
Absentee by Mail,ICC - Absentee By Mail 3 - 9,16
Absentee by Mail,ICC - Absentee By Mail 3 - 18,4
Absentee by Mail,ICC - Absentee By Mail 3 - 19,19
Absentee by Mail,ICC - Absentee By Mail 3 - 2,18
Absentee by Mail,ICC - Absentee By Mail 3 - 16,10
Absentee by Mail,ICC - Absentee By Mail 3 - 15,8
Absentee by Mail,ICC - Absentee By Mail 3 - 14,13
Absentee by Mail,ICC - Absentee By Mail 3 - 10,14
Absentee by Mail,ICC - Absentee By Mail 3 - 11,16
Absentee by Mail,ICC - Absentee By Mail 3 - 12,9
Absentee by Mail,ICC - Absentee By Mail 3 - 13,18
Absentee by Mail,ICC - Absentee By Mail 3 - 20,4
Absentee by Mail,ICC - Absentee By Mail 3 - 21,4
Absentee by Mail,ICC - Absentee By Mail 3 - 5,10
Absentee by Mail,ICC - Absentee By Mail 3 - 6,8
Absentee by Mail,ICC - Absentee By Mail 3 - 7,11
Absentee by Mail,ICC - Absentee By Mail 3 - 8,13
Absentee by Mail,ICC - Absentee By Mail 3 - 4,3
Absentee by Mail,ICC - Absentee By Mail 3 - 3,11
Absentee by Mail,ICC - Absentee By Mail 3 - 26,43
Absentee by Mail,ICC - Absentee By Mail 3 - 22,5
Absentee by Mail,ICC - Absentee By Mail 3 - 23,7
Absentee by Mail,ICC - Absentee By Mail 3 - 24,7
Absentee by Mail,ICC - Absentee By Mail 3 - 25,13
Absentee by Mail,ICC - Absentee By Mail 3 - 1,8
Absentee by Mail,ICC - Absentee by Mail 1 - 24,31
Advance Voting,AV - ACC Library ICP 1 - 0,3129
Advance Voting,AV - Board of Elections ICP 1 - 0,6862
Advance Voting,AV - ACC Library ICP 2 - 0,2340
Advance Voting,AV - Miriam Moore Comm Center ICP 1 - 0,1579
Advance Voting,AV - ACC Tennis Center ICP 1 - 0,3737
Advance Voting,AV - ACC Cooperative Ext Office ICP 1 - 0,2306
Election Day,ED - 4B  ICP 1 - 0,728
Absentee by Mail,ICC - Absentee By Mail 3 - 27,73
Election Day,ED - 8C  ICP 1 - 0,749
Election Day,ED - 4A  ICP 1 - 0,299
Election Day,ED - 1D  ICP 1 - 0,657
Election Day,ED - 3A  ICP 1 - 0,362
Election Day,ED - 5C  ICP 1 - 0,530
Election Day,ED - 7C  ICP 1 - 0,574
Absentee by Mail,ICC - Absentee By Mail 3 - 28,4
Election Day,ED - 5B  ICP 1 - 0,689
Election Day,ED - 1C  ICP 1 - 0,537
Election Day,ED - 1B  ICP 1 - 0,539
Election Day,ED - 5D  ICP 1 - 0,697
Election Day,ED - 6D  ICP 1 - 0,444
Election Day,ED - 2B  ICP 1 - 0,290
Election Day,ED - 2A  ICP 2 - 0,462
Election Day,ED - 7A  ICP 1 - 0,683
Election Day,Ed - 7B  ICP 1 - 0,487
Election Day,ED - 2A  ICP 1 - 0,238
Election Day,ED - 2B  ICP 2 - 0,319
Election Day,ED - 5A  ICP 1 - 0,659
Election Day,ED - 6B  ICP 1 - 0,706
Election Day,ED - 8A  ICP 1 - 0,551
Election Day,ED - 3B  ICP 1 - 0,531
Election Day,ED - 6C  ICP 1 - 0,700
Election Day,ED - 1A  ICP 1 - 0,778
Election Day,ED - 8B  ICP 1 - 0,437
Election Day,ED - 6A  ICP 1 - 0,664
Provisional,ICC - Provisional - 1,17
Absentee by Mail,ICC - Absentee By Mail 3 - 29,12
