Container,Batch Name,Number of Ballots
Advanced Voting,AV-Courthouse ICP 1 - 0,1402
Absentee by Mail,ICC - Absentee By Mail - 1,25
Absentee by Mail,ICC - Absentee By Mail - 13,2
Absentee by Mail,ICC - Absentee By Mail - 11,25
Absentee by Mail,ICC - Absentee By Mail - 14,25
Absentee by Mail,ICC - Absentee By Mail - 12,23
Absentee by Mail,ICC - Absentee By Mail - 9,25
Absentee by Mail,ICC - Absentee By Mail - 7,25
Absentee by Mail,ICC - Absentee By Mail - 3,25
Absentee by Mail,ICC - Absentee By Mail - 2,25
Absentee by Mail,ICC - Absentee By Mail - 10,25
Absentee by Mail,ICC - Absentee By Mail - 8,25
Absentee by Mail,ICC - Absentee By Mail - 5,25
Absentee by Mail,ICC - Absentee By Mail - 4,25
Absentee by Mail,ICC - Absentee By Mail - 6,25
Election Day,ED-Cooksville-Corinth ICP 1 - 0,189
Election Day,ED-Enon Grove ICP 1 - 0,320
Election Day,ED-Franklin ICP 1 - 0,494
Election Day,ED-Centralhatchee ICP 1 - 0,607
Election Day,ED-Southwest ICP 1 - 0,204
Election Day,ED-Ephesus ICP 1 - 0,507
Provisional,ICC - Provisional - 1,2
