Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office - ICP 1 - 0,2297
Advance Voting,AV Byron - 0,3231
Absentee by Mail,ICC - Absentee by Mail - 1,50
Absentee by Mail,ICC - Absentee by Mail - 2,51
Absentee by Mail,ICC - Absentee by Mail - 3,50
Absentee by Mail,ICC - Absentee by Mail - 4,52
Absentee by Mail,ICC - Absentee by Mail - 5,50
Absentee by Mail,ICC - Absentee by Mail - 6,50
Absentee by Mail,ICC - Absentee by Mail - 7,33
Elections Day,ED-Byron 1 ICP 1 - 0,520
Elections Day,ED-Claude ICP 1 - 0,281
Elections Day,ED-Fort Valley 1 ICP 2 - 0,485
Elections Day,ED-Powersville ICP 1 - 0,372
Elections Day,ED-Byron 2 ICP 1 - 0,791
Elections Day,ED-Byron 2 ICP 2 - 0,14
Elections Day,ED-Fort Valley 2 ICP 1 - 0,383
Elections Day,ED-Fort Valley 3 ICP 2 - 0,361
Absentee by Mail,ICC - Absentee by Mail - 8,34
Absentee by Mail,ICC - Absentee by Mail - 9,44
Absentee by Mail,ICC - Absentee by Mail - 10,36
Provisional,ICC - Provisional - 1,7
