Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,23
Absentee by Mail,Absentee By Mail ICC - 2,23
Absentee by Mail,Absentee By Mail ICC - 3,23
Absentee by Mail,Absentee By Mail ICC - 4,23
Absentee by Mail,Absentee By Mail ICC - 5,23
Advance Voting,AV-Election Office ICP 1 - 0,726
Election Day,ED-Leary ICP 1 - 0,192
Election Day,ED-Edison-Arlington ICP 1 - 0,161
Election Day,ED-Edison ICP 1 - 0,130
Election Day,ED-Arlington ICP 1 - 0,146
Election Day,ED-Morgan ICP 1 - 0,121
