Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,25
Absentee by Mail,ICC-Absentee by Mail - 10,1
Absentee by Mail,ICC-Absentee by Mail - 11,10
Advance Voting,AV-Elections Office ICP 1 - 0,2840
Election Day,ED-Raleigh ICP 1 - 0,166
Election Day,ED-Third-Durand ICP 1 - 0,236
Election Day,ED-Lower 9th-Woodbury ICP 1 - 0,488
Election Day,ED-Cove ICP 1 - 0,114
Election Day,ED-8th-Greenville ICP 1 - 0,384
Election Day,ED-Luthersville ICP 1 - 0,790
Election Day,ED-Upper 9th-Alvaton ICP 1 - 0,612
Election Day,ED-Chalybeate ICP 1 - 0,212
Election Day,ED-2nd-Warm Springs ICP 1 - 0,440
Election Day,ED-Gill I ICP 1 - 0,565
Election Day,ED-Gill II ICP 1 - 0,288
Election Day,ED-Middle 9th-Gay ICP 1 - 0,167
Election Day,ED-7th-Odessadale ICP 1 - 0,118
Election Day,ED-Lone Oak ICP 1 - 0,415
Absentee by Mail,ICC-Absentee by Mail - 12,1
Provisional,ICC-Provisional - 1,1
