Container,Batch Name,Number of Ballots
Advance Voting," Box 1,2,3 AV-Elections Office ICP 1 - 0",6804
Election Day,Box 5 ED-Dahlonega ICP 1 - 0,1129
Election Day,Box 5 ED-Dahlonega ICP 2 - 0,1133
Election Day,Box 6 ED-Dahlonega ICP 3 - 0,1266
Election Day,Box 6 ED-Dahlonega ICP 4 - 0,440
Absentee by Mail,Box 4 ICC - Absentee By Mail - 12,31
Absentee by Mail,Box 4 ICC - Absentee By Mail - 10,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 9,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 11,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 2,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 4,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 8,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 7,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 3,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 6,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 1,26
Absentee by Mail,Box 4 ICC - Absentee By Mail - 5,50
Absentee by Mail,Box 4 ICC - Absentee By Mail - 13,23
Provisional,Box 4 ICC - Provisional - 1,4
