Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC 1 - 1,51
Absentee by Mail,Absentee By Mail ICC 1 - 10,47
Absentee by Mail,Absentee By Mail ICC 1 - 11,95
Absentee by Mail,Absentee By Mail ICC 1 - 12,97
Absentee by Mail,Absentee By Mail ICC 1 - 13,97
Absentee by Mail,Absentee By Mail ICC 1 - 14,91
Absentee by Mail,Absentee By Mail ICC 1 - 15,46
Absentee by Mail,Absentee By Mail ICC 1 - 2,94
Absentee by Mail,Absentee By Mail ICC 1 - 3,98
Absentee by Mail,Absentee By Mail ICC 1 - 4,96
Absentee by Mail,Absentee By Mail ICC 1 - 5,47
Absentee by Mail,Absentee By Mail ICC 1 - 6,98
Absentee by Mail,Absentee By Mail ICC 1 - 7,97
Absentee by Mail,Absentee By Mail ICC 1 - 8,96
Absentee by Mail,Absentee By Mail ICC 1 - 9,93
Absentee by Mail,Absentee By Mail ICC 2 - 1,94
Absentee by Mail,Absentee By Mail ICC 2 - 10,93
Absentee by Mail,Absentee By Mail ICC 2 - 11,90
Absentee by Mail,Absentee By Mail ICC 2 - 12,94
Absentee by Mail,Absentee By Mail ICC 2 - 13,93
Absentee by Mail,Absentee By Mail ICC 2 - 14,50
Absentee by Mail,Absentee By Mail ICC 2 - 15,50
Absentee by Mail,Absentee By Mail ICC 2 - 16,50
Absentee by Mail,Absentee By Mail ICC 2 - 17,50
Absentee by Mail,Absentee By Mail ICC 2 - 18,93
Absentee by Mail,Absentee By Mail ICC 2 - 19,94
Absentee by Mail,Absentee By Mail ICC 2 - 2,89
Absentee by Mail,Absentee By Mail ICC 2 - 20,96
Absentee by Mail,Absentee By Mail ICC 2 - 21,95
Absentee by Mail,Absentee By Mail ICC 2 - 22,92
Absentee by Mail,Absentee By Mail ICC 2 - 23,95
Absentee by Mail,Absentee By Mail ICC 2 - 24,99
Absentee by Mail,Absentee By Mail ICC 2 - 25,97
Absentee by Mail,Absentee By Mail ICC 2 - 26,95
Absentee by Mail,Absentee By Mail ICC 2 - 27,93
Absentee by Mail,Absentee By Mail ICC 2 - 28,97
Absentee by Mail,Absentee By Mail ICC 2 - 29,91
Absentee by Mail,Absentee By Mail ICC 2 - 3,93
Absentee by Mail,Absentee By Mail ICC 2 - 30,97
Absentee by Mail,Absentee By Mail ICC 2 - 31,94
Absentee by Mail,Absentee By Mail ICC 2 - 32,95
Absentee by Mail,Absentee By Mail ICC 2 - 33,88
Absentee by Mail,Absentee By Mail ICC 2 - 34,88
Absentee by Mail,Absentee By Mail ICC 2 - 35,94
Absentee by Mail,Absentee By Mail ICC 2 - 36,92
Absentee by Mail,Absentee By Mail ICC 2 - 37,91
Absentee by Mail,Absentee By Mail ICC 2 - 38,93
Absentee by Mail,Absentee By Mail ICC 2 - 39,85
Absentee by Mail,Absentee By Mail ICC 2 - 4,89
Absentee by Mail,Absentee By Mail ICC 2 - 40,53
Absentee by Mail,Absentee By Mail ICC 2 - 5,97
Absentee by Mail,Absentee By Mail ICC 2 - 6,89
Absentee by Mail,Absentee By Mail ICC 2 - 7,93
Absentee by Mail,Absentee By Mail ICC 2 - 8,93
Absentee by Mail,Absentee By Mail ICC 2 - 9,95
Absentee by Mail,Absentee By Mail ICC 3 - 1,48
Absentee by Mail,Absentee By Mail ICC 3 - 10,60
Absentee by Mail,Absentee By Mail ICC 3 - 100,91
Absentee by Mail,Absentee By Mail ICC 3 - 101,92
Absentee by Mail,Absentee By Mail ICC 3 - 102,92
Absentee by Mail,Absentee By Mail ICC 3 - 103,93
Absentee by Mail,Absentee By Mail ICC 3 - 104,93
Absentee by Mail,Absentee By Mail ICC 3 - 105,91
Absentee by Mail,Absentee By Mail ICC 3 - 106,94
Absentee by Mail,Absentee By Mail ICC 3 - 107,94
Absentee by Mail,Absentee By Mail ICC 3 - 108,87
Absentee by Mail,Absentee By Mail ICC 3 - 109,90
Absentee by Mail,Absentee By Mail ICC 3 - 11,99
Absentee by Mail,Absentee By Mail ICC 3 - 110,91
Absentee by Mail,Absentee By Mail ICC 3 - 111,56
Absentee by Mail,Absentee By Mail ICC 3 - 112,56
Absentee by Mail,Absentee By Mail ICC 3 - 113,38
Absentee by Mail,Absentee By Mail ICC 3 - 114,39
Absentee by Mail,Absentee By Mail ICC 3 - 115,50
