Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail - 6,6
Absentee by Mail,ICC - Absentee by Mail - 4,20
Absentee by Mail,ICC - Absentee by Mail - 2,20
Absentee by Mail,ICC - Absentee by Mail - 3,20
Absentee by Mail,ICC - Absentee by Mail - 5,20
Absentee by Mail,ICC - Absentee by Mail - 1,20
Advance Voting,AV-Elections Office - ICP 1 - 0,880
Elections Day,ED-Abbeville North ICP 1 - 0,98
Elections Day,ED-Abbeville South ICP 1 - 0,244
Elections Day,ED-Rochelle South ICP 1 - 0,344
Elections Day,ED-Pitts ICP 1 - 0,335
Elections Day,ED-Pineview ICP 1 - 0,263
Elections Day,ED-Rochelle North ICP 1 - 0,117
