Container,Batch Name,Number of Ballots
Advance Voting,AV-South  ICP 1 - 0,1968
Advance Voting,AV-South  ICP 2 - 0,2880
Advance Voting,AV-Mableton  ICP 1 - 0,5221
Advance Voting,AV-Kennesaw  ICP 2 - 0,6672
Advance Voting,AV-Mableton  ICP 2 - 0,6192
Advance Voting,AV-Kennesaw  ICP 1 - 0,4260
Absentee by Mail,ICC-Absentee by Mail 2 - 20,1
Absentee by Mail,ICC-Absentee by Mail 2 - 200,2
Absentee by Mail,ICC-Absentee by Mail 2 - 99,2
Absentee by Mail,ICC-Absentee by Mail 2 - 201,19
Absentee by Mail,ICC-Absentee by Mail 2 - 2,1
Absentee by Mail,ICC-Absentee by Mail 2 - 196,2
Absentee by Mail,ICC-Absentee by Mail 2 - 197,3
Absentee by Mail,ICC-Absentee by Mail 2 - 202,7
Absentee by Mail,ICC-Absentee by Mail 2 - 198,18
Absentee by Mail,ICC-Absentee by Mail 2 - 199,11
Absentee by Mail,ICC-Absentee by Mail 2 - 210,1
Absentee by Mail,ICC-Absentee by Mail 2 - 21,8
Absentee by Mail,ICC-Absentee by Mail 2 - 211,1
Absentee by Mail,ICC-Absentee by Mail 2 - 203,19
Absentee by Mail,ICC-Absentee by Mail 2 - 204,20
Absentee by Mail,ICC-Absentee by Mail 2 - 208,2
Absentee by Mail,ICC-Absentee by Mail 2 - 206,1
Absentee by Mail,ICC-Absentee by Mail 2 - 207,2
Absentee by Mail,ICC-Absentee by Mail 2 - 209,2
Absentee by Mail,ICC-Absentee by Mail 2 - 205,22
Absentee by Mail,ICC-Absentee by Mail 2 - 183,5
Absentee by Mail,ICC-Absentee by Mail 2 - 195,3
Absentee by Mail,ICC-Absentee by Mail 2 - 182,13
Absentee by Mail,ICC-Absentee by Mail 2 - 181,11
Absentee by Mail,ICC-Absentee by Mail 2 - 194,17
Absentee by Mail,ICC-Absentee by Mail 2 - 178,5
Absentee by Mail,ICC-Absentee by Mail 2 - 18,3
Absentee by Mail,ICC-Absentee by Mail 2 - 180,8
Absentee by Mail,ICC-Absentee by Mail 2 - 179,9
Absentee by Mail,ICC-Absentee by Mail 2 - 177,10
Absentee by Mail,ICC-Absentee by Mail 2 - 191,14
Absentee by Mail,ICC-Absentee by Mail 2 - 192,6
Absentee by Mail,ICC-Absentee by Mail 2 - 184,12
Absentee by Mail,ICC-Absentee by Mail 2 - 185,11
Absentee by Mail,ICC-Absentee by Mail 2 - 186,22
Absentee by Mail,ICC-Absentee by Mail 2 - 19,1
Absentee by Mail,ICC-Absentee by Mail 2 - 188,7
Absentee by Mail,ICC-Absentee by Mail 2 - 187,13
Absentee by Mail,ICC-Absentee by Mail 2 - 190,14
Absentee by Mail,ICC-Absentee by Mail 2 - 193,21
Absentee by Mail,ICC-Absentee by Mail 2 - 239,9
Absentee by Mail,ICC-Absentee by Mail 2 - 213,13
Absentee by Mail,ICC-Absentee by Mail 2 - 189,3
Absentee by Mail,ICC-Absentee by Mail 2 - 212,17
Absentee by Mail,ICC-Absentee by Mail 2 - 214,14
Absentee by Mail,ICC-Absentee by Mail 2 - 24,1
Absentee by Mail,ICC-Absentee by Mail 2 - 237,9
Absentee by Mail,ICC-Absentee by Mail 2 - 234,6
Absentee by Mail,ICC-Absentee by Mail 2 - 238,15
Absentee by Mail,ICC-Absentee by Mail 2 - 240,20
Absentee by Mail,ICC-Absentee by Mail 2 - 241,4
Absentee by Mail,ICC-Absentee by Mail 2 - 243,15
Absentee by Mail,ICC-Absentee by Mail 2 - 235,5
Absentee by Mail,ICC-Absentee by Mail 2 - 236,12
Absentee by Mail,ICC-Absentee by Mail 2 - 242,17
Absentee by Mail,ICC-Absentee by Mail 2 - 25,2
Absentee by Mail,ICC-Absentee by Mail 2 - 248,11
Absentee by Mail,ICC-Absentee by Mail 2 - 249,19
Absentee by Mail,ICC-Absentee by Mail 2 - 247,17
Absentee by Mail,ICC-Absentee by Mail 2 - 250,16
Absentee by Mail,ICC-Absentee by Mail 2 - 232,6
Absentee by Mail,ICC-Absentee by Mail 2 - 245,13
Absentee by Mail,ICC-Absentee by Mail 2 - 244,13
Absentee by Mail,ICC-Absentee by Mail 2 - 246,2
Absentee by Mail,ICC-Absentee by Mail 2 - 233,16
Absentee by Mail,ICC-Absentee by Mail 2 - 22,4
Absentee by Mail,ICC-Absentee by Mail 2 - 220,10
Absentee by Mail,ICC-Absentee by Mail 2 - 219,1
Absentee by Mail,ICC-Absentee by Mail 2 - 218,2
Absentee by Mail,ICC-Absentee by Mail 2 - 221,23
Absentee by Mail,ICC-Absentee by Mail 2 - 216,2
Absentee by Mail,ICC-Absentee by Mail 2 - 215,4
Absentee by Mail,ICC-Absentee by Mail 2 - 217,4
Absentee by Mail,ICC-Absentee by Mail 2 - 223,27
Absentee by Mail,ICC-Absentee by Mail 2 - 222,47
Absentee by Mail,ICC-Absentee by Mail 2 - 224,10
Absentee by Mail,ICC-Absentee by Mail 2 - 229,4
Absentee by Mail,ICC-Absentee by Mail 2 - 231,12
Absentee by Mail,ICC-Absentee by Mail 2 - 23,1
Absentee by Mail,ICC-Absentee by Mail 2 - 230,21
Absentee by Mail,ICC-Absentee by Mail 2 - 228,8
Absentee by Mail,ICC-Absentee by Mail 2 - 227,6
Absentee by Mail,ICC-Absentee by Mail 2 - 176,15
Absentee by Mail,ICC-Absentee by Mail 2 - 225,11
Absentee by Mail,ICC-Absentee by Mail 2 - 226,42
Absentee by Mail,ICC-Absentee by Mail 2 - 125,2
Absentee by Mail,ICC-Absentee by Mail 2 - 124,2
Absentee by Mail,ICC-Absentee by Mail 2 - 175,15
Absentee by Mail,ICC-Absentee by Mail 2 - 122,3
Absentee by Mail,ICC-Absentee by Mail 2 - 123,12
Absentee by Mail,ICC-Absentee by Mail 2 - 126,3
Absentee by Mail,ICC-Absentee by Mail 2 - 120,5
Absentee by Mail,ICC-Absentee by Mail 2 - 119,1
Absentee by Mail,ICC-Absentee by Mail 2 - 12,4
Absentee by Mail,ICC-Absentee by Mail 2 - 121,2
Absentee by Mail,ICC-Absentee by Mail 2 - 127,2
Absentee by Mail,ICC-Absentee by Mail 2 - 134,18
Absentee by Mail,ICC-Absentee by Mail 2 - 128,1
Absentee by Mail,ICC-Absentee by Mail 2 - 135,25
Absentee by Mail,ICC-Absentee by Mail 2 - 133,22
Absentee by Mail,ICC-Absentee by Mail 2 - 129,2
Absentee by Mail,ICC-Absentee by Mail 2 - 13,3
Absentee by Mail,ICC-Absentee by Mail 2 - 132,17
Absentee by Mail,ICC-Absentee by Mail 2 - 130,6
Absentee by Mail,ICC-Absentee by Mail 2 - 131,10
Absentee by Mail,ICC-Absentee by Mail 2 - 117,3
Absentee by Mail,ICC-Absentee by Mail 2 - 106,1
Absentee by Mail,ICC-Absentee by Mail 2 - 118,1
Absentee by Mail,ICC-Absentee by Mail 2 - 105,1
Absentee by Mail,ICC-Absentee by Mail 2 - 104,1
Absentee by Mail,ICC-Absentee by Mail 2 - 10,7
Absentee by Mail,ICC-Absentee by Mail 2 - 103,1
Absentee by Mail,ICC-Absentee by Mail 2 - 102,7
Absentee by Mail,ICC-Absentee by Mail 2 - 100,3
Absentee by Mail,ICC-Absentee by Mail 2 - 101,6
Absentee by Mail,ICC-Absentee by Mail 2 - 109,4
Absentee by Mail,ICC-Absentee by Mail 2 - 108,1
Absentee by Mail,ICC-Absentee by Mail 2 - 107,4
Absentee by Mail,ICC-Absentee by Mail 2 - 114,1
Absentee by Mail,ICC-Absentee by Mail 2 - 115,1
Absentee by Mail,ICC-Absentee by Mail 2 - 113,1
Absentee by Mail,ICC-Absentee by Mail 2 - 110,7
Absentee by Mail,ICC-Absentee by Mail 2 - 11,4
Absentee by Mail,ICC-Absentee by Mail 2 - 116,2
Absentee by Mail,ICC-Absentee by Mail 2 - 112,2
