Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,51
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,27
Absentee by Mail,ICC - Absentee By Mail - 10,3
Advanced Voting,AV-Elections Office ICP 1 - 0,3869
Election Day,ED-Buchanan ICP 1 - 0,634
Election Day,ED-Mt View ICP 1 - 0,162
Election Day,ED-Berea-Steadman ICP 1 - 0,242
Election Day,ED-Little Creek ICP 1 - 0,318
Election Day,ED-Twentieth ICP 1 - 0,292
Election Day,ED-Felton ICP 1 - 0,143
Election Day,ED-Corinth ICP 1 - 0,528
Election Day,ED-Bremen ICP 1 - 0,1663
Election Day,ED-Tallapoosa ICP 1 - 0,808
Election Day,ED-Waco ICP 1 - 0,395
Election Day,ED-Buncombe ICP 1 - 0,359
Election Day,ED-Seventh ICP 1 - 0,588
Provisional,ICC - Provisional - 1,1
