Container,Batch Name,Number of Ballots
Advanced Voting,AV-Elections Office ICP 1 - 0,4306
Election Day,ED-Barron ICP 1 - 0,499
Election Day,ED-Clinton ICP 1 - 0,643
Election Day,ED-Ethridge ICP 1 - 0,478
Election Day,ED-Sanders ICP 1 - 0,111
Election Day,ED-Pope ICP 1 - 0,652
Election Day,ED-Hawkins ICP 1 - 0,751
Election Day,ED-Gray ICP 1 - 0,689
Election Day,ED-Davidson ICP 1 - 0,574
Election Day,ED-Finney ICP 1 - 0,1014
Election Day,ED-Roberts ICP 1 - 0,795
Absentee by Mail,ICC-Absentee by Mail - 1,39
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,51
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 10,51
Absentee by Mail,ICC-Absentee by Mail - 11,46
Absentee by Mail,ICC-Absentee by Mail - 12,49
Absentee by Mail,ICC-Absentee by Mail - 13,52
Absentee by Mail,ICC-Absentee by Mail - 14,54
Absentee by Mail,ICC-Absentee by Mail - 15,50
Provisional,ICC-Provisional - 1,3
