Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,24
Absentee by Mail,ICC - Absentee By Mail - 6,7
Advanced Voting,AV-Murray Co Rec Center ICP 1 - 0,2465
Advanced Voting,AV-Murray Co Rec Center ICP 2 - 0,1653
Election Day,ED-Southwest ICP 1 - 0,871
Election Day,ED-Carters-Doolittle ICP 1 - 0,653
Election Day,ED-North ICP 1 - 0,713
Election Day,ED-Shuck Pen ICP 1 - 0,910
Election Day,ED-Spring Place ICP 1 - 0,957
Election Day,ED-McDonald ICP 1 - 0,563
Election Day,ED-Town ICP 2 - 0,879
Election Day,ED-Town ICP 1 - 0,343
,,
