Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,49
Absentee by Mail,ICC-Absentee by Mail - 2,43
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,41
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,49
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,47
Absentee by Mail,ICC-Absentee by Mail - 10,39
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,50
Absentee by Mail,ICC-Absentee by Mail - 13,50
Absentee by Mail,ICC-Absentee by Mail - 14,50
Absentee by Mail,ICC-Absentee by Mail - 15,47
Absentee by Mail,ICC-Absentee by Mail - 16,50
Absentee by Mail,ICC-Absentee by Mail - 17,45
Absentee by Mail,ICC-Absentee by Mail - 18,43
Absentee by Mail,ICC-Absentee by Mail - 19,50
Absentee by Mail,ICC-Absentee by Mail - 20,49
Absentee by Mail,ICC-Absentee by Mail - 21,50
Absentee by Mail,ICC-Absentee by Mail - 22,50
Absentee by Mail,ICC-Absentee by Mail - 23,50
Absentee by Mail,ICC-Absentee by Mail - 24,38
Absentee by Mail,ICC-Absentee by Mail - 25,46
Absentee by Mail,ICC-Absentee by Mail - 26,24
Absentee by Mail,ICC-Absentee by Mail - 27,23
Absentee by Mail,ICC-Absentee by Mail - 28,26
Absentee by Mail,ICC-Absentee by Mail - 29,49
Absentee by Mail,ICC-Absentee by Mail - 30,50
Absentee by Mail,ICC-Absentee by Mail - 31,50
Absentee by Mail,ICC-Absentee by Mail - 32,56
Absentee by Mail,ICC-Absentee by Mail - 33,50
Absentee by Mail,ICC-Absentee by Mail - 34,21
Absentee by Mail,ICC-Absentee by Mail - 35,50
Absentee by Mail,ICC-Absentee by Mail - 36,22
Absentee by Mail,ICC-Absentee by Mail - 37,39
Absentee by Mail,ICC-Absentee by Mail - 38,50
Absentee by Mail,ICC-Absentee by Mail - 39,36
Absentee by Mail,ICC-Absentee by Mail - 40,51
Absentee by Mail,ICC-Absentee by Mail - 41,49
Absentee by Mail,ICC-Absentee by Mail - 42,51
Absentee by Mail,ICC-Absentee by Mail - 43,44
Absentee by Mail,ICC-Absentee by Mail - 44,41
Absentee by Mail,ICC-Absentee by Mail - 45,43
Absentee by Mail,ICC-Absentee by Mail - 46,35
Absentee by Mail,ICC-Absentee by Mail - 47,22
Absentee by Mail,ICC-Absentee by Mail - 48,50
Absentee by Mail,ICC-Absentee by Mail - 49,49
Absentee by Mail,ICC-Absentee by Mail - 50,50
Absentee by Mail,ICC-Absentee by Mail - 51,31
Absentee by Mail,ICC-Absentee by Mail - 52,31
Absentee by Mail,ICC-Absentee by Mail - 53,45
Absentee by Mail,ICC-Absentee by Mail - 54,42
Absentee by Mail,ICC-Absentee by Mail - 55,49
Absentee by Mail,ICC-Absentee by Mail - 56,50
Absentee by Mail,ICC-Absentee by Mail - 57,39
Absentee by Mail,ICC-Absentee by Mail - 58,32
Absentee by Mail,ICC-Absentee by Mail - 59,27
Absentee by Mail,ICC-Absentee by Mail - 60,50
Absentee by Mail,ICC-Absentee by Mail - 61,27
Absentee by Mail,ICC-Absentee by Mail - 62,27
Absentee by Mail,ICC-Absentee by Mail - 63,31
Absentee by Mail,ICC-Absentee by Mail - 64,22
Absentee by Mail,ICC-Absentee by Mail - 65,23
Absentee by Mail,ICC-Absentee by Mail - 66,21
Absentee by Mail,ICC-Absentee by Mail - 67,48
Absentee by Mail,ICC-Absentee by Mail - 68,34
Absentee by Mail,ICC-Absentee by Mail - 69,31
Absentee by Mail,ICC-Absentee by Mail - 70,15
Absentee by Mail,ICC-Absentee by Mail - 71,21
Absentee by Mail,ICC-Absentee by Mail - 72,24
Absentee by Mail,ICC-Absentee by Mail - 73,17
Absentee by Mail,ICC-Absentee by Mail - 74,19
Absentee by Mail,ICC-Absentee by Mail - 75,37
Absentee by Mail,ICC-Absentee by Mail - 76,18
Absentee by Mail,ICC-Absentee by Mail - 77,22
Absentee by Mail,ICC-Absentee by Mail - 78,20
Absentee by Mail,ICC-Absentee by Mail - 79,17
Absentee by Mail,ICC-Absentee by Mail - 80,48
Absentee by Mail,ICC-Absentee by Mail - 81,50
Absentee by Mail,ICC-Absentee by Mail - 82,56
Absentee by Mail,ICC-Absentee by Mail - 83,58
Absentee by Mail,ICC-Absentee by Mail - 84,64
Absentee by Mail,ICC-Absentee by Mail - 85,56
Absentee by Mail,ICC-Absentee by Mail - 86,56
Absentee by Mail,ICC-Absentee by Mail - 87,59
Absentee by Mail,ICC-Absentee by Mail - 88,56
Absentee by Mail,ICC-Absentee by Mail - 89,56
Absentee by Mail,ICC-Absentee by Mail - 90,66
Absentee by Mail,ICC-Absentee by Mail - 91,70
Absentee by Mail,ICC-Absentee by Mail - 92,58
Absentee by Mail,ICC-Absentee by Mail - 93,61
Absentee by Mail,ICC-Absentee by Mail - 94,61
Absentee by Mail,ICC-Absentee by Mail - 95,37
Absentee by Mail,ICC-Absentee by Mail - 96,66
Absentee by Mail,ICC-Absentee by Mail - 97,59
Absentee by Mail,ICC-Absentee by Mail - 98,60
Absentee by Mail,ICC-Absentee by Mail - 99,54
Advance Voting,AIP-NORTH HALL CC ICP1 - 0,3672
Advance Voting,AIP-NORTH HALL CC ICP2 - 0,4832
Advance Voting,AIP-SOUTH 2 MULLBERRY ICP1 - 0,3728
Advance Voting,AIP-SOUTH 2 MULLBERRY ICP2 - 0,3727
Advance Voting,AIP-MAIN NHOOD CTR ICP1 - 0,3128
Advance Voting,AIP-MAIN NHOOD CTR ICP2 - 0,2747
Advance Voting,AIP-EAST HALL CC ICP1 - 0,2836
Advance Voting,AIP-SOUTH 1 SPOUT ICP1 - 0,5014
Advance Voting,AIP-SOUTH 1 SPOUT ICP2 - 0,5492
Election Day,ICC-Absentee by Mail - 100,31
Election Day,ED-Glade  ICP 1 - 0,639
Election Day,ED-Big Hickory  ICP 1 - 0,943
Election Day,ED-West Whelchel  ICP 1 - 0,1026
Election Day,ED-Friendship III  ICP 1 - 0,704
Election Day,ED-Lula  ICP 1 - 0,816
Election Day,ED-Gainesville V  ICP 1 - 0,285
Election Day,ED-Friendship II  ICP 1 - 0,804
Election Day,ED-Oakwood I  ICP 1 - 0,535
Election Day,ED-Flowery Branch II  ICP 1 - 0,858
Election Day,ED-Morgan I  ICP 1 - 0,966
Election Day,ED-Wilson  ICP 1 - 0,446
Election Day,ED-Wilson  ICP 2 - 0,643
Election Day,ED-Fork  ICP 1 - 0,1035
Election Day,ED-Quillians  ICP 1 - 0,614
Election Day,ED-Gainesville IV  ICP 1 - 0,463
Election Day,ED-Oakwood II  ICP 1 - 0,969
Election Day,ED-Tadmore  ICP 1 - 0,780
Election Day,ED-Gainesville III  ICP 1 - 0,642
Election Day,ED-Morgan II  ICP 1 - 0,937
Election Day,ED-Gillsville  ICP 1 - 0,396
Election Day,ED-Roberts  ICP 2 - 0,617
Election Day,ED-Roberts  ICP 1 - 0,608
Election Day,ED-Friendship I  ICP 1 - 0,807
Election Day,ED-Friendship I  ICP 2 - 0,801
Election Day,ED-Bark Camp  ICP 2 - 0,542
Election Day,ED-Bark Camp  ICP 1 - 0,739
Election Day,ED-Gainesville I  ICP 1 - 0,742
Election Day,ED-Chicopee  ICP 1 - 0,660
Election Day,ED-Flowery Branch I  ICP 1 - 0,1059
Election Day,ED-Chestatee  ICP 1 - 0,984
Election Day,ED-Friendship IV  ICP 1 - 0,602
Election Day,ED-Gainesville II  ICP 1 - 0,276
Election Day,ED-Clermont  ICP 1 - 0,833
Election Day,ED-Candler  ICP 1 - 0,624
Election Day,ED-Candler  ICP 2 - 0,569
Election Day,ED-Whelchel  ICP 1 - 0,817
Absentee by Mail,ICC-Absentee by Mail - 101,3
Absentee by Mail,ICC-Absentee by Mail - 102,81
Absentee by Mail,ICC-Absentee by Mail - 103,8
Provisional,ICC-Provisional - 1,13
