Container,Batch Name,Number of Ballots
Advanced Voting,AV-Elections Office ICP 1 - 0,5676
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,7
Absentee by Mail,ICC - Absentee By Mail - 4,37
Absentee by Mail,ICC - Absentee By Mail - 5,14
Absentee by Mail,ICC - Absentee By Mail - 6,12
Absentee by Mail,ICC - Absentee By Mail - 7,6
Absentee by Mail,ICC - Absentee By Mail - 8,17
Absentee by Mail,ICC - Absentee By Mail - 9,32
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,11
Absentee by Mail,ICC - Absentee By Mail - 12,50
Election Day,ED-Hinton ICP 1 - 0,384
Election Day,ED-Ludville ICP 1 - 0,276
Election Day,ED-Hill ICP 1 - 0,627
Election Day,ED-Jerusalem ICP 1 - 0,559
Election Day,ED-Talking Rock ICP 1 - 0,533
Election Day,ED-Appalachian ICP 1 - 0,476
Election Day,ED-Jasper ICP 1 - 0,569
Election Day,ED-Tate ICP 1 - 0,710
Election Day,ED-Sharptop ICP 1 - 0,820
Election Day,ED-Yellow Creek ICP 1 - 0,1064
Election Day,ED-Refuge ICP 1 - 0,597
Election Day,ED-Nelson ICP 1 - 0,499
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 14,2
Absentee by Mail,ICC - Absentee By Mail - 15,41
Absentee by Mail,ICC - Absentee By Mail - 16,50
Absentee by Mail,ICC - Absentee By Mail - 17,10
Absentee by Mail,ICC - Absentee By Mail - 18,47
Absentee by Mail,ICC - Absentee By Mail - 19,4
Absentee by Mail,ICC - Absentee By Mail - 20,11
Absentee by Mail,ICC - Absentee By Mail - 21,1
Provisional,ICC - Provisional - 1,1
Absentee by Mail,ICC - Absentee By Mail - 22,1
Absentee by Mail,ICC - Absentee By Mail - 23,1
