Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail - 1,25
Absentee by Mail,ICC - Absentee by Mail - 2,25
Absentee by Mail,ICC - Absentee by Mail - 3,25
Absentee by Mail,ICC - Absentee by Mail - 4,25
Absentee by Mail,ICC - Absentee by Mail - 5,25
Absentee by Mail,ICC - Absentee by Mail - 6,25
Absentee by Mail,ICC - Absentee by Mail - 7,25
Absentee by Mail,ICC - Absentee by Mail - 8,25
Absentee by Mail,ICC - Absentee by Mail - 9,25
Absentee by Mail,ICC - Absentee by Mail - 10,25
Absentee by Mail,ICC - Absentee by Mail - 11,25
Absentee by Mail,ICC - Absentee by Mail - 12,25
Absentee by Mail,ICC - Absentee by Mail - 13,25
Absentee by Mail,ICC - Absentee by Mail - 14,26
Absentee by Mail,ICC - Absentee by Mail - 15,25
Advance Voting,AV-Elections Office - ICP 1 - 0,1635
Elections Day,ED-Devereux Fire ICP 1 - 0,244
Elections Day,ED-St Mark ICP 1 - 0,101
Elections Day,ED-Courthouse ICP 1 - 0,152
Elections Day,ED-Second Beulah ICP 1 - 0,88
Elections Day,ED-Second Darrien ICP 1 - 0,134
Elections Day,ED-Mayfield Community Center ICP 1 - 0,72
Elections Day,ED-Power of God ICP 1 - 0,146
Elections Day,ED-Warren Chapel ICP 1 - 0,61
Elections Day,ED-Youth Center ICP 1 - 0,172
Elections Day,ED-Sparta 4C ICP 1 - 0,25
Absentee by Mail,ICC - Absentee by Mail - 16,25
Absentee by Mail,ICC - Absentee by Mail - 17,25
Absentee by Mail,ICC - Absentee by Mail - 18,15
Provisional,ICC - Provisional - 1,1
