Container,Batch Name,Number of Ballots
Election Day,ED-Lumpkin ICP 1 - 0,172
Advanced Voting,AV-Courthouse ICP 1 - 0,660
Election Day,ED-Omaha ICP 1 - 0,70
Election Day,ED-Richland ICP 1 - 0,317
Election Day,ED-Louvale ICP 1 - 0,96
Absentee by Mail,ICC - Absentee By Mail - 5,12
Absentee by Mail,ICC - Absentee By Mail - 3,23
Absentee by Mail,ICC - Absentee By Mail - 4,26
Absentee by Mail,ICC - Absentee By Mail - 6,34
Absentee by Mail,ICC - Absentee By Mail - 7,1
Absentee by Mail,ICC - Absentee By Mail - 2,11
Absentee by Mail,ICC - Absentee By Mail - 1,14
Provisional,ICC - Provisional - 1,1
