Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail 1 - 1,80
Absentee by Mail,ICC-Absentee by Mail 2 - 1,88
Absentee by Mail,ICC-Absentee by Mail 1 - 2,50
Absentee by Mail,ICC-Absentee by Mail 2 - 2,86
Absentee by Mail,ICC-Absentee by Mail 1 - 3,93
Absentee by Mail,ICC-Absentee by Mail 2 - 3,90
Absentee by Mail,ICC-Absentee by Mail 2 - 4,40
Absentee by Mail,ICC-Absentee by Mail 1 - 4,48
Absentee by Mail,ICC-Absentee by Mail 1 - 5,63
Absentee by Mail,ICC-Absentee by Mail 2 - 5,60
Absentee by Mail,ICC-Absentee by Mail 1 - 6,58
Absentee by Mail,ICC-Absentee by Mail 2 - 6,65
Advance Voting,AV-Elections Office ICP 1 - 0,4909
Advance Voting,AV-Elections Office ICP 2 - 0,4305
Advance Voting,AV-Elections Office ICP 3 - 0,4344
Absentee by Mail,ICC-Absentee by Mail 1 - 7,49
Absentee by Mail,ICC-Absentee by Mail 2 - 7,60
Absentee by Mail,ICC-Absentee by Mail 1 - 8,51
Absentee by Mail,ICC-Absentee by Mail 2 - 8,54
Absentee by Mail,ICC-Absentee by Mail 1 - 9,57
Absentee by Mail,ICC-Absentee by Mail 2 - 9,47
Absentee by Mail,ICC-Absentee by Mail 2 - 10,15
Absentee by Mail,ICC-Absentee by Mail 1 - 10,10
Absentee by Mail,ICC-Absentee by Mail 1 - 11,13
Absentee by Mail,ICC-Absentee by Mail 2 - 11,13
Absentee by Mail,ICC-Absentee by Mail 1 - 12,6
Absentee by Mail,ICC-Absentee by Mail 2 - 12,6
Election Day,ED-South Jackson ICP 1 - 0,1140
Election Day,ED-South Jackson ICP 2 - 0,760
Election Day,ED-Central Jackson ICP 1 - 0,763
Election Day,ED-Central Jackson ICP 2 - 0,865
Election Day,ED-Central Jackson ICP 3 - 0,897
Election Day,ED-Central Jackson ICP 4 - 0,872
Election Day,ED-North Jackson ICP 1 - 0,1594
Election Day,ED-North Jackson ICP 2 - 0,1359
Election Day,ED-West Jackson ICP 1 - 0,819
Election Day,ED-West Jackson ICP 2 - 0,960
Election Day,ED-West Jackson ICP 3 - 0,941
Election Day,ED-West Jackson ICP 4 - 0,868
Election Day,ED-West Jackson ICP 5 - 0,874
Provisional,ICC-Provisional 1 - 1,8
