Container,Batch Name,Number of Ballots
Advanced Voting,ICC - Advance Voting - 1,102
Advanced Voting,AV-Chickamauga Civic Ctr ICP - 0,3959
Advanced Voting,AV-Courthouse ICP - 0,3191
Election Day,ED-Kensington ICP 1 - 0,474
Election Day,ED-Armuchee Valley ICP 1 - 0,636
Absentee by Mail,ICC - Absentee By Mail - 16,50
Absentee by Mail,ICC - Absentee By Mail - 14,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 17,50
Absentee by Mail,ICC - Absentee By Mail - 15,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 18,50
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 19,20
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,49
Absentee by Mail,ICC - Absentee By Mail - 21,5
Absentee by Mail,ICC - Absentee By Mail - 20,15
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 1,50
Election Day,ED-Mountain ICP 1 - 0,524
Election Day,ED-Rock Spring ICP 1 - 0,1670
Election Day,ED-Rossville ICP 1 - 0,1511
Election Day,ED-Fairview ICP 1 - 0,700
Election Day,ED-Chickamauga ICP 1 - 0,1430
Election Day,ED-La Fayette ICP 1 - 0,1360
Election Day,ED-Fairyland ICP 1 - 0,623
Election Day,ED-Walnut Grove ICP 1 - 0,585
Election Day,ED-Chattanooga Valley ICP 1 - 0,1682
Election Day,ICC - Election Day - 1,31
Provisional,ICC - Provisional - 1,13
Absentee by Mail,ICC - Absentee By Mail - 22,3
