Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,50
Absentee by Mail,Absentee By Mail ICC - 2,48
Absentee by Mail,Absentee By Mail ICC - 4,50
Absentee by Mail,Absentee By Mail ICC - 3,50
Absentee by Mail,Absentee By Mail ICC - 5,12
Election Day,ED-Blakely ICP 1 - 0,606
Election Day,ED-Cedar Springs ICP 1 - 0,384
Advance Voting,AV-Elections Office ICP 1 - 0,1677
Election Day,ED-Urquhart ICP 1 - 0,201
Election Day,ED-Cuba ICP 1 - 0,298
Election Day,ED-Arlington ICP 1 - 0,292
Provisional,Provisional ICC - 1,3
